Age_ID,Age_bins,utility,l2_norm,KLDiv,gpt_semantics
65,[ 0.    9.26 18.1  26.95 35.79 44.63 53.47 62.32 71.16 80.  ],0.9870203362924596,0.4637429447048221,0.6169605479005535,1.0
66,[ 0.   15.   19.   23.   26.   30.   34.   40.   48.78 80.  ],0.9867022910826682,0.5134319632363014,0.4402182742357786,1.0
67,[ 0.  1.  2.  5. 15. 45. 47. 63. 74. 80.],0.9999996795292175,0.419405820973372,0.988084347860004,1.0
70,[ 0.    0.96  1.5   2.5   6.5  26.5  62.5  63.5  77.   80.  ],0.9999992462411651,0.3602456230068761,0.9429822846620144,1.0
71,[ 0.    4.27 16.92 22.68 28.57 34.3  40.19 47.33 56.09 66.82],0.9973823687151578,0.5209165259847494,0.465415714471758,1.0
72,[ 0.    0.88  6.72 14.47 21.   28.08 34.56 41.25 51.61 60.06 80.  ],0.9984320875475806,0.4408109077100711,0.4790131926236488,1.0
73,[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100.],0.9681619496776395,0.3218244748765861,0.6781139548876638,2.0
74,[ 0.    8.38 16.34 24.29 32.25 40.21 48.17 56.13 64.08 72.04 80.  ],0.9982306236479291,0.4201153236899603,0.5482235282951624,1.0
75,[ 0.  14.  19.  22.  25.  28.  31.8 36.  41.  50.  80. ],0.9723685476674614,0.4911183126840062,0.3888195153891907,1.0
76,[ 0.  1.  2.  5. 11. 15. 45. 47. 63. 74. 80.],0.9999998820608791,0.3518823648888406,0.9667380982055264,1.0
79,[ 0.    0.96  1.5   2.5   6.5  26.5  27.5  62.5  63.5  77.   80.  ],0.99999952671463,0.3529037231438365,0.9906738898418954,1.0
80,[ 0.    2.5   9.07 17.71 23.41 29.84 36.72 43.87 51.29 61.   72.36],0.9835085204576324,0.4585399088199761,0.4601806009676903,1.0
172,[ 0.    4.5  15.5  23.25 23.75 24.25 24.75 36.25 52.5  65.5  80.  ],0.9951162063234223,0.4513930159418552,0.6829445332978668,1.0
173,[ 0.  7. 80.],0.999959654127136,0.5144500850263847,0.4528157459962397,1.0
