Glucose_ID,Glucose_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
63,[  0.   22.   96.5 109.5 121.5 134.5 145.5 155.5 172.  199. ],0.8333333333333333,0.8333333333333333,0.3577819546851516,0.4715381533576691,1.0
64,[  0.    22.22  44.44  66.67  88.89 111.11 133.33 155.56 177.78 200.  ],0.7447763937925935,0.7447763937925935,0.3713154150296877,0.4460335541191058,1.0
65,[  0.    22.11  44.22  66.33  88.44 110.56 132.67 154.78 176.89 199.  ],0.7447763937925935,0.7447763937925935,0.3736077581720228,0.4445192389195743,1.0
66,[  0.    87.    96.   104.67 111.89 121.   129.   143.56 164.   199.  ],1.0,1.0,0.4096588719538072,0.4499881315018688,1.0
67,[  0.  99. 127. 154. 156. 157. 164. 165. 199.],0.30952380952380953,0.30952380952380953,0.3765202542199658,0.6835084076095974,1.0
70,[  0.   22.   99.5 111.5 126.5 127.5 152.5 154.5 165.5 199. ],0.5,0.5,0.3598474538513531,0.5153571081627251,1.0
71,[  0.    72.49  87.55  99.02 110.56 124.67 140.89 159.84 184.05],0.9285714285714287,0.9285714285714287,0.4518696090460391,0.2747660296425981,1.0
72,"[  0.    22.    96.17 107.83 118.5  129.17 138.83 149.5  158.17 178.17
 199.  ]",0.8787878787878788,0.8787878787878788,0.3220747979956786,0.4517135469639277,1.0
73,[  0.  20.  40.  60.  80. 100. 120. 140. 160. 180. 200.],0.8333333333333333,0.8333333333333333,0.3439950812162246,0.3433447261786354,2.0
74,[  0.   19.9  59.7  79.6  99.5 119.4 139.3 159.2 179.1 199. ],0.75,0.75,0.3630151104722976,0.3587527379958221,1.0
75,[  0.  85.  95. 102. 108. 116. 124. 133. 146. 167. 199.],0.9999999999999999,0.9999999999999999,0.3801039152317698,0.4156789665967326,1.0
76,[  0.  99. 127. 152. 154. 156. 157. 164. 165. 199.],0.35,0.35,0.3362895696927414,0.6780393840368077,1.0
77,[  0.   19.9  39.8  59.7  79.6  99.5 119.4 139.3 159.2 179.1 199. ],0.75,0.75,0.3464394096445272,0.3587527379958221,1.0
79,[  0.   22.   99.5 111.5 126.5 127.5 152.5 154.5 164.5 165.5 199. ],0.43030303030303024,0.43030303030303024,0.3141084398988062,0.5132532602888593,1.0
80,[  0.    69.39  85.45  98.18 110.56 124.98 141.04 157.4  174.82 190.56],0.9500000000000001,0.9500000000000001,0.3879553110628914,0.2344793029685882,1.0
83,"[  0.    18.09  54.27  72.36  90.46 108.54 126.64 144.73 162.82 180.91
 199.  ]",0.8145934285312865,0.8145934285312865,0.3353055858821037,0.331608636249292,1.0
85,[  0.  99. 114. 127. 152. 154. 156. 157. 164. 165. 199.],0.41818181818181815,0.41818181818181815,0.306245397685487,0.6399384656434908,1.0
89,"[  0.    68.81  83.9   95.49 105.58 115.23 126.69 141.48 157.1  174.43
 190.56]",0.9636363636363635,0.9636363636363635,0.3655683618706664,0.2152649773792557,1.0
172,[  0.   67.5  79.5  98.5 129.5 158.5 199. ],0.8285714285714287,0.8285714285714287,0.5012720852220589,0.2828937032474625,1.0
173,[  0.   101.74 126.   127.52 152.38 154.24 165.   199.  ],0.7500000000000002,0.7500000000000002,0.4457920254892632,0.6945008434490001,1.0
