ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
46,decision-tree,"[       0.    104984.5   581609.    581837.    582986.5   886606.5
   987211.5 32878968. ]","[0.22231442 0.67501852 0.         0.         0.06854349 0.00777893
 0.02632983]",0.979086731818345,0.5739358251856628,1
47,kmeans,"[       0.           121100.34833864   343457.00863177   690470.35008226
  1559866.98835125  3562948.86187845  7350338.91428571 32878968.        ]","[2.79508075e-01 4.41398726e-01 2.13542747e-01 5.55341532e-02
 8.32715958e-03 1.54096903e-03 1.33353089e-04]",0.6916103204265482,0.5757948620252992,1
48,random-forest,"[       0.            36318.5           82618.78571429   107071.78571429
   208393.35714286   492926.5          906745.14285714  1111846.07142857
 32878968.        ]","[0.05639354 0.11090532 0.05501556 0.26029041 0.36830642 0.11695066
 0.01213513 0.01998815]",0.737940437807444,0.5716155603707753,1
49,equal-width,"[       0.  6250000. 12500000. 18750000. 25000000. 31250000. 37500000.
 43750000. 50000000.]","[9.99599941e-01 3.55608238e-04 2.96340199e-05 0.00000000e+00
 0.00000000e+00 1.48170099e-05 0.00000000e+00 0.00000000e+00]",0.4479833920227603,0.36140805754271366,1
50,equal-width-data,[       0.  4109871.  8219742. 12329613. 16439484. 32878968.],"[9.98814639e-01 1.09645873e-03 4.44510298e-05 2.96340199e-05
 0.00000000e+00]",0.5202041228693239,0.6476075254647784,1
51,equal-frequency,"[       0.       68704.      114703.      160227.      212724.
   277096.      370842.      537678.625 32878968.   ]","[0.11546896 0.13535339 0.13621277 0.1179434  0.11666914 0.13283449
 0.11902504 0.126478  ]",0.6706042194668607,0.571756843396557,1
52,kbins,"[       0.  4109871.  8219742. 12329613. 16439484. 20549355. 24659226.
 28769097. 32878968.]","[9.98814639e-01 1.09645873e-03 4.44510298e-05 2.96340199e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]",0.5202041228693239,0.5311030699834749,1
53,kbins-quantile,"[       0.       68704.      114703.      160227.      212724.
   277096.      370842.      537678.625 32878968.   ]","[0.11546896 0.13535339 0.13621277 0.1179434  0.11666914 0.13283449
 0.11902504 0.126478  ]",0.6706042194668607,0.571756843396557,1
54,decision-tree,"[       0.    104984.5   581609.    581837.    582986.5   886606.5
   986480.    987211.5 32878968. ]","[0.22231442 0.67501852 0.         0.         0.06854349 0.00777893
 0.         0.02632983]",0.979086731818345,0.5738770178812345,1
55,kmeans,"[       0.           109536.14582823   299976.96170097   568533.9201801
  1009117.70435511  1995729.15452931  3993297.90163935  7460233.12121212
 32878968.        ]","[2.22314417e-01 4.30967551e-01 2.34953326e-01 8.66795081e-02
 1.92472959e-02 4.51918803e-03 1.18536079e-03 1.18536079e-04]",0.6552870259387482,0.5720102726735778,1
56,random-forest,"[0.00000000e+00 7.60000000e+01 7.79475000e+04 1.04305250e+05
 1.68259250e+05 4.72192750e+05 5.97276875e+05 9.47475375e+05
 1.11288819e+06 3.28789680e+07]","[0.01244629 0.1286561  0.08121203 0.1647207  0.45147429 0.06291302
 0.06946214 0.00911246 0.01998815]",0.7262584196466233,0.5713495088347236,1
57,equal-width,"[       0.          5555555.55555556 11111111.11111111 16666666.66666667
 22222222.22222222 27777777.77777778 33333333.33333334 38888888.8888889
 44444444.44444445 50000000.        ]","[9.99496222e-01 4.29693288e-04 5.92680397e-05 0.00000000e+00
 0.00000000e+00 1.48170099e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",0.462434530299511,0.31808005473116063,1
58,equal-width-data,"[       0.     3653218.667  7306437.333 10959656.    14612874.667
 32878968.   ]","[9.98325678e-01 1.51133501e-03 8.89020596e-05 5.92680397e-05
 0.00000000e+00]",0.5554496041447534,0.6418057846075056,1
59,equal-frequency,"[       0.       62999.778   104956.      144856.      188273.111
   239628.      304722.      398799.444   566200.    32878968.   ]","[0.11546896 0.10684546 0.11145355 0.10259298 0.10977923 0.12108461
 0.10720107 0.11380945 0.11174989]",0.6204244832239849,0.5716007925460855,1
60,kbins,"[       0.          3653218.66666667  7306437.33333333 10959656.
 14612874.66666667 18266093.33333333 21919312.         25572530.66666666
 29225749.33333333 32878968.        ]","[9.98325678e-01 1.51133501e-03 8.89020596e-05 5.92680397e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",0.5554496041447534,0.5021126320814515,1
61,kbins-quantile,"[       0.            62999.77777778   104956.           144856.
   188273.11111111   239628.           304722.           398799.44444444
   566200.         32878968.        ]","[0.11546896 0.10684546 0.11145355 0.10259298 0.10977923 0.12108461
 0.10720107 0.11380945 0.11174989]",0.6204244832239849,0.5716007925467285,1
62,decision-tree,"[       0.    104984.5   581609.    581837.    582986.5   886606.5
   986480.    987211.5  2421759.  32878968. ]","[0.22231442 0.67501852 0.         0.         0.06854349 0.00777893
 0.         0.02274411 0.00358572]",0.8828385885230167,0.573522770949676,1
63,kmeans,"[       0.            95791.04163823   253547.81893918   453949.1622385
   728342.89426778  1232976.74198849  2152875.45169082  4039820.87394958
  7513899.71875    32878968.        ]","[1.94902949e-01 3.90309676e-01 2.39309527e-01 1.17098829e-01
 4.23025633e-02 1.12164765e-02 3.60053341e-03 1.12609275e-03
 1.18536079e-04]",0.5702149914267659,0.5701449772741455,1
64,random-forest,"[0.00000000e+00 3.23000000e+02 7.81216667e+04 1.00416056e+05
 1.44308167e+05 2.97794389e+05 4.77091056e+05 5.97097167e+05
 9.39981722e+05 1.16074061e+06 3.28789680e+07]","[0.01244629 0.1286561  0.08121203 0.11145355 0.319514   0.18522744
 0.06291302 0.06867684 0.01163135 0.01825456]",0.5740130691867723,0.5711944258271091,1
65,equal-width,"[       0.  5000000. 10000000. 15000000. 20000000. 25000000. 30000000.
 35000000. 40000000. 45000000. 50000000.]","[9.99318418e-01 6.07497407e-04 5.92680397e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.48170099e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.4801767262511565,0.2793267643035243,1
66,equal-width-data,[       0.   3287896.8  6575793.6  9863690.4 13151587.2 32878968. ],"[9.98014521e-01 1.70395614e-03 2.07438139e-04 5.92680397e-05
 0.00000000e+00]",0.5836167555848237,0.6365923368641578,1
67,equal-frequency,"[       0.     58140.     96915.2   132354.    169993.    212724.
   262732.    328472.    423605.    591907.  32878968. ]","[0.09284338 0.10205956 0.11163135 0.08050081 0.1179434  0.09908135
 0.09133205 0.10580827 0.10022226 0.09856275]",0.5711442075847086,0.5714822896226799,1
68,kbins,"[       0.   3287896.8  6575793.6  9863690.4 13151587.2 16439484.
 19727380.8 23015277.6 26303174.4 29591071.2 32878968. ]","[9.98014521e-01 1.70395614e-03 2.07438139e-04 5.92680397e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.5836167555848237,0.4765258308221718,1
69,kbins-quantile,"[       0.     58140.     96915.2   132354.    169993.    212724.
   262732.    328472.    423605.    591907.  32878968. ]","[0.09284338 0.10205956 0.11163135 0.08050081 0.1179434  0.09908135
 0.09133205 0.10580827 0.10022226 0.09856275]",0.5711442075847086,0.5714822896226799,1
70,decision-tree,"[       0.    104984.5   581609.    581837.    582986.5   886606.5
   986480.    987211.5  2377565.   2421759.  32878968. ]","[2.22314417e-01 6.75018521e-01 0.00000000e+00 0.00000000e+00
 6.85434879e-02 7.77893021e-03 0.00000000e+00 2.26107571e-02
 1.33353089e-04 3.58571640e-03]",0.8769638734403038,0.5731816134114697,1
71,kmeans,"[       0.            88321.12343769   232661.07131288   417515.44198588
   682007.34806538  1163427.05201916  2095806.5         3887221.60176991
  6380748.43243243 11605260.8        32878968.        ]","[1.67298859e-01 3.78841310e-01 2.46732849e-01 1.38850200e-01
 5.00074085e-02 1.31575048e-02 3.67461846e-03 1.09645873e-03
 2.81523189e-04 4.44510298e-05]",0.5529467230969014,0.562901692174733,1
72,random-forest,"[0.0000000e+00 3.2300000e+02 7.6993700e+04 1.0041310e+05 1.1503550e+05
 2.8575050e+05 4.6911000e+05 5.7282720e+05 8.6669830e+05 9.6810700e+05
 1.1617436e+06 3.2878968e+07]","[0.01244629 0.1286561  0.08121203 0.02850793 0.38773152 0.19293229
 0.06141651 0.07100311 0.00866795 0.00915691 0.01825456]",0.5815512571786605,0.5709732164247933,1
73,equal-width,"[       0.          4545454.54545455  9090909.09090909 13636363.63636364
 18181818.18181818 22727272.72727273 27272727.27272727 31818181.81818182
 36363636.36363637 40909090.90909091 45454545.45454546 50000000.00000001]","[9.99125796e-01 7.85301526e-04 7.40850496e-05 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.48170099e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",0.49956841348154923,0.24392792468091018,1
74,equal-width-data,"[       0.     2988997.091  5977994.182  8966991.273 11955988.364
 14944985.455 32878968.   ]","[9.97688546e-01 1.83730923e-03 3.85242258e-04 4.44510298e-05
 2.96340199e-05 0.00000000e+00]",0.6140832395502849,0.6166567123618493,1
75,equal-frequency,"[       0.       54036.       90630.      122607.      155762.
   192603.      234612.      283689.      350151.      446239.182
   614774.364 32878968.   ]","[0.09284338 0.10205956 0.08460513 0.08201215 0.09857757 0.08604238
 0.09241369 0.09426582 0.08438287 0.09193955 0.09084309]",0.5241850090665734,0.5713884854815403,1
76,kbins,"[       0.          2988997.09090909  5977994.18181818  8966991.27272727
 11955988.36363636 14944985.45454545 17933982.54545455 20922979.63636364
 23911976.72727273 26900973.81818182 29889970.90909091 32878968.        ]","[9.97688546e-01 1.83730923e-03 3.85242258e-04 4.44510298e-05
 2.96340199e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]",0.6140832395502849,0.4533913331744649,1
77,kbins-quantile,"[       0.            54036.            90630.           122607.
   155762.           192603.           234612.           283689.
   350151.           446239.18181818   614774.36363636 32878968.        ]","[0.09284338 0.10205956 0.08460513 0.08201215 0.09857757 0.08604238
 0.09241369 0.09426582 0.08438287 0.09193955 0.09084309]",0.5241850090665734,0.5713884854815767,1
78,decision-tree,"[       0.    104984.5   581609.    581837.    582986.5   602195.5
   886606.5   986480.    987211.5  2377565.   2421759.  32878968. ]","[2.22314417e-01 6.75018521e-01 0.00000000e+00 0.00000000e+00
 8.23825752e-03 6.03052304e-02 7.77893021e-03 0.00000000e+00
 2.26107571e-02 1.33353089e-04 3.58571640e-03]",0.8668480101009275,0.5731597367798029,1
79,kmeans,"[       0.            83726.04190169   216465.34485108   372779.20132066
   573573.01445428   846933.59344617  1353662.07077625  2214149.74722222
  3974808.5         6641321.03030303 12222928.         32878968.        ]","[1.67298859e-01 3.37679656e-01 2.49503630e-01 1.38420507e-01
 6.88250111e-02 2.50703808e-02 8.75685287e-03 3.11157208e-03
 1.05200770e-03 2.37072159e-04 2.96340199e-05]",0.49646035224042684,0.5610631058131087,1
80,random-forest,"[0.00000000e+00 6.65000000e+01 7.83793182e+04 1.03440318e+05
 1.24604591e+05 2.08341909e+05 4.18460318e+05 4.76263500e+05
 5.75686182e+05 8.55106227e+05 9.57337455e+05 1.16295805e+06
 3.28789680e+07]","[0.01244629 0.1286561  0.08121203 0.05719366 0.20309676 0.31026819
 0.04563639 0.05439324 0.06980293 0.00905319 0.00997185 0.01825456]",0.5101901309482135,0.5710243622550091,1
81,equal-width,"[       0.          4166666.66666667  8333333.33333333 12500000.
 16666666.66666667 20833333.33333333 25000000.         29166666.66666666
 33333333.33333333 37500000.         41666666.66666666 45833333.33333333
 50000000.        ]","[9.98859090e-01 1.05200770e-03 4.44510298e-05 2.96340199e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.48170099e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]",0.5193362337763423,0.21110201505128723,1
82,equal-width-data,[       0.  2739914.  5479828.  8219742. 10959656. 13699570. 32878968.],"[9.97140317e-01 2.32627056e-03 4.44510298e-04 1.48170099e-05
 5.92680397e-05 0.00000000e+00]",0.6368411076687066,0.6151020641175484,1
83,equal-frequency,"[       0.       49856.       84702.      114703.      144856.
   176802.917   212724.      253973.      304722.      370842.
   467514.      636490.5   32878968.   ]","[0.07420359 0.09309527 0.08352348 0.08294562 0.07845607 0.09275448
 0.08023411 0.08201215 0.08725737 0.077004   0.08472366 0.08377537]",0.48620806242403625,0.5713146397804233,1
84,kbins,"[       0.  2739914.  5479828.  8219742. 10959656. 13699570. 16439484.
 19179398. 21919312. 24659226. 27399140. 30139054. 32878968.]","[9.97140317e-01 2.32627056e-03 4.44510298e-04 1.48170099e-05
 5.92680397e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]",0.6368411076687066,0.4321059041134776,1
85,kbins-quantile,"[       0.            49856.            84702.           114703.
   144856.           176802.91666667   212724.           253973.
   304722.           370842.           467514.           636490.5
 32878968.        ]","[0.07420359 0.09309527 0.08352348 0.08294562 0.07845607 0.09275448
 0.08023411 0.08201215 0.08725737 0.077004   0.08472366 0.08377537]",0.48620806242403625,0.5713146397804303,1
86,decision-tree,"[       0.    104984.5   581609.    581837.    582986.5   602195.5
   603706.    886606.5   986480.    987211.5  2377565.   2421759.
 32878968. ]","[2.22314417e-01 6.75018521e-01 0.00000000e+00 0.00000000e+00
 8.23825752e-03 0.00000000e+00 6.03052304e-02 7.77893021e-03
 0.00000000e+00 2.26107571e-02 1.33353089e-04 3.58571640e-03]",0.8668480101009275,0.5731377513928744,1
87,kmeans,"[       0.            77370.27711689   198801.39426469   337220.87297634
   510421.61173965   734395.97463389  1098783.22897196  1703444.49694501
  2554824.76213592  4180528.76595745  6721617.74193548 12222928.
 32878968.        ]","[1.41102386e-01 3.18995407e-01 2.48081197e-01 1.54111720e-01
 8.17602608e-02 3.51607646e-02 1.24462883e-02 5.12668543e-03
 2.07438139e-03 8.74203586e-04 2.22255149e-04 2.96340199e-05]",0.46677194528685606,0.5603142068893104,1
88,random-forest,"[0.0000000e+00 1.8050000e+02 7.6959500e+04 1.0331250e+05 1.1248950e+05
 1.7604450e+05 3.6691850e+05 4.6345750e+05 4.8164050e+05 5.8181800e+05
 8.6100400e+05 9.7657150e+05 1.2015220e+06 3.2878968e+07]","[0.01244629 0.1286561  0.08121203 0.02850793 0.16140169 0.33166395
 0.08759816 0.01329086 0.05255593 0.06657283 0.00934953 0.00974959
 0.01698029]",0.4760618356165387,0.5709329735504672,1
89,equal-width,"[       0.          3846153.84615385  7692307.69230769 11538461.53846154
 15384615.38461538 19230769.23076923 23076923.07692308 26923076.92307692
 30769230.76923077 34615384.61538462 38461538.46153846 42307692.3076923
 46153846.15384615 50000000.        ]","[9.98473848e-01 1.40761594e-03 5.92680397e-05 4.44510298e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.48170099e-05 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",0.5466937055779559,0.1803201474608469,1
90,equal-width-data,"[       0.     2529151.385  5058302.769  7587454.154 10116605.538
 12645756.923 15174908.308 32878968.   ]","[9.96740258e-01 2.60779375e-03 5.18595347e-04 5.92680397e-05
 2.96340199e-05 2.96340199e-05 0.00000000e+00]",0.6659851583831635,0.5983902884676527,1
91,equal-frequency,"[       0.       46645.       79819.      107775.308   135356.
   164008.      195676.615   231154.      271586.      322907.923
   389701.692   487084.      656955.692 32878968.   ]","[0.07420359 0.0668988  0.08121203 0.08421988 0.08050081 0.07306268
 0.08604238 0.07550748 0.07374426 0.06876574 0.08061935 0.07775967
 0.07744851]",0.45320613898255613,0.5712493938072157,1
92,kbins,"[       0.          2529151.38461538  5058302.76923077  7587454.15384615
 10116605.53846154 12645756.92307692 15174908.30769231 17704059.69230769
 20233211.07692308 22762362.46153846 25291513.84615384 27820665.23076923
 30349816.61538462 32878968.        ]","[9.96740258e-01 2.60779375e-03 5.18595347e-04 5.92680397e-05
 2.96340199e-05 2.96340199e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",0.6659851583831635,0.4122656759480857,1
93,kbins-quantile,"[       0.            46645.            79819.           107775.30769231
   135356.           164008.           195676.61538462   231154.
   271586.           322907.92307692   389701.69230769   487084.
   656955.69230769 32878968.        ]","[0.07420359 0.0668988  0.08121203 0.08421988 0.08050081 0.07306268
 0.08604238 0.07550748 0.07374426 0.06876574 0.08061935 0.07775967
 0.07744851]",0.45320613898255613,0.571249393807132,1
94,decision-tree,"[       0.    104984.5   581609.    581837.    582986.5   602195.5
   603706.    886606.5   891803.    986480.    987211.5  2377565.
  2421759.  32878968. ]","[2.22314417e-01 6.75018521e-01 0.00000000e+00 0.00000000e+00
 8.23825752e-03 0.00000000e+00 6.03052304e-02 9.92739665e-04
 6.78619055e-03 0.00000000e+00 2.26107571e-02 1.33353089e-04
 3.58571640e-03]",0.8625968728892188,0.5730897796607497,1
95,kmeans,"[       0.            70006.67000052   179102.41089556   301314.82189542
   452270.2974919    643340.75701899   906090.92012611  1338257.74636724
  2020288.94677871  3029371.4         4439741.50704225  6803309.68965517
 12222928.         32878968.        ]","[1.41102386e-01 2.71121648e-01 2.55000741e-01 1.57297377e-01
 9.49918506e-02 4.83479034e-02 1.86101645e-02 7.85301526e-03
 3.37827826e-03 1.36316491e-03 6.66765447e-04 2.22255149e-04
 2.96340199e-05]",0.41736293614511677,0.5594793754221985,1
96,random-forest,"[0.00000000e+00 9.59500000e+02 7.85905769e+04 1.03192654e+05
 1.15674192e+05 2.06158038e+05 2.88108692e+05 4.50109269e+05
 4.83034808e+05 5.58176154e+05 6.47277385e+05 8.83708269e+05
 9.61258231e+05 1.11221835e+06 3.28789680e+07]","[0.01244629 0.1286561  0.08121203 0.02850793 0.23178249 0.15594903
 0.18596829 0.02025485 0.03855386 0.03618314 0.04636242 0.00669729
 0.00742332 0.01998815]",0.4425785000650897,0.5709434573043077,1
97,equal-width,"[       0.          3571428.57142857  7142857.14285714 10714285.71428571
 14285714.28571429 17857142.85714286 21428571.42857143 25000000.
 28571428.57142857 32142857.14285714 35714285.71428572 39285714.28571428
 42857142.85714286 46428571.42857143 50000000.        ]","[9.98310861e-01 1.48170099e-03 1.33353089e-04 5.92680397e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.48170099e-05 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.5624074378721468,0.15120837674478405,1
98,equal-width-data,"[       0.     2348497.714  4696995.429  7045493.143  9393990.857
 11742488.571 14090986.286 32878968.   ]","[9.96088309e-01 3.06712105e-03 6.07497407e-04 1.62987109e-04
 1.48170099e-05 4.44510298e-05 0.00000000e+00]",0.6920823841880952,0.5988036033516175,1
99,equal-frequency,"[       0.       43503.214    75644.429   102009.643   127186.
   153368.      181618.286   212724.      247551.      287622.
   339861.143   407308.429   505457.      674348.    32878968.   ]","[0.07420359 0.0668988  0.08121203 0.05719366 0.08201215 0.07484072
 0.06861757 0.0613276  0.07224774 0.06962513 0.07558157 0.07295896
 0.07208475 0.07118092]",0.4191019577805988,0.5711923989970358,1
