passenger_count_ID,trip_distance_ID,duration_ID,passenger_count_bins,trip_distance_bins,duration_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
12,31,30,[0.  1.5 2.5 5. ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.3343771040185349,0.9162346475348596,0.9143242753609808,1.0,1,1
14,0,0,[0.   1.5  1.83 2.17 5.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.  3.  8. 15. 25. 30.],0.3472560738713389,0.8290629920445577,1.0,3.0,1,1
14,0,26,[0.   1.5  1.83 2.17 5.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    6.   11.99 17.98 23.96 30.  ],0.3475143443035159,0.8194012377050223,0.9731448110212174,2.0,1,1
14,0,30,[0.   1.5  1.83 2.17 5.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.3476833954752188,0.8181125847922295,0.967342041463756,2.0,1,1
14,31,0,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.  3.  8. 15. 25. 30.],0.3576643170683702,0.7893613557583717,0.9469822338972248,2.0,1,1
14,31,20,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    7.5  14.98 22.47 29.95],0.3580939657882396,0.7363661776878253,0.9413803564364992,1.0,1,1
14,31,26,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    6.   11.99 17.98 23.96 30.  ],0.3579225875005473,0.7796996014188363,0.9201270449184422,1.0,1,1
14,31,30,[0.   1.5  1.83 2.17 5.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.3580916386722502,0.7784109485060435,0.9143242753609808,1.0,1,1
36,0,0,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.  3.  8. 15. 25. 30.],0.6055475684201682,0.723709075391743,0.8813922682289448,3.0,1,1
36,0,26,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    6.   11.99 17.98 23.96 30.  ],0.6058058388523453,0.7140473210522075,0.8545370792501621,2.0,1,1
36,0,30,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[ 0.   0.5  1.5  3.   5.  10. ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.6059748900240481,0.7127586681394148,0.8487343096927008,2.0,1,1
36,31,0,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.  3.  8. 15. 25. 30.],0.6159558116171996,0.6840074391055571,0.8283745021261696,2.0,1,1
36,31,1,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0. 15. 30.],0.617111402197823,0.6042266113524152,0.7712771479255659,1.3333333333333333,1,1
36,31,4,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.   14.98 29.95],0.6171093511803408,0.6042701910722043,0.7716635942214971,1.0,1,1
36,31,5,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.   10.65 29.95],0.6167345277354755,0.6057111516757788,0.7726884191618494,1.0,1,1
36,31,9,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0. 10. 20. 30.],0.6166680668805247,0.6118918736569758,0.8109301882800538,1.3333333333333333,1,1
36,31,12,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    9.99 19.97 29.95],0.6166663708468375,0.6119334762954113,0.811113306417433,1.0,1,1
36,31,13,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    8.12 13.68 29.95],0.6164562204402035,0.6144618399795462,0.8122413684269235,1.0,1,1
36,31,20,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    7.5  14.98 22.47 29.95],0.616385460337069,0.6310122610350106,0.8227726246654438,1.0,1,1
36,31,26,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    6.   11.99 17.98 23.96 30.  ],0.6162140820493767,0.6743456847660215,0.8015193131473869,1.0,1,1
36,31,30,[0.   0.86 1.71 2.57 3.43 4.29 5.14 6.  ],[0.   0.76 1.45 2.19 3.11 6.  ],[ 0.    7.49 11.93 17.38 23.11 30.  ],0.6163831332210795,0.6730570318532288,0.7957165435899256,1.0,1,1
