ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
20,kbins,[  0.      60.5795 121.159  181.7385 242.318 ],[0.00132732 0.51956464 0.4548978  0.02421025],0.9407730539033737,0.8800316900270356,1
21,kbins-quantile,[  0.     98.368 120.013 139.931 242.318],[0.25043801 0.2613751  0.23334218 0.2548447 ],0.996231879569995,0.8816350612058566,1
22,decision-tree,[  0.          88.15800095 103.19250107 105.39500046 243.        ],[0.12014866 0.19575259 0.03111229 0.65298646],0.8482898799926809,0.8828146964106698,1
23,kmeans,[  0.          91.41369646 120.82862074 143.82915262 243.        ],[0.15269445 0.35911866 0.27740908 0.21077781],0.9956139607029239,0.8817463432182945,1
24,random-forest,"[  0.          71.87450027  88.80050278  98.06650162 105.30599976
 243.        ]",[0.01263605 0.10751261 0.13028935 0.09657552 0.65298646],0.8919790785716707,0.977484689024099,1
25,equal-width,[  0.  50. 100. 150. 200. 250.],"[2.12370587e-04 2.59039023e-01 5.72816565e-01 1.61136183e-01
 6.79585877e-03]",0.9918762032456319,0.9738562726492865,3
26,equal-width-data,[  0.     48.464  96.927 145.391 193.854 243.   ],"[2.12370587e-04 2.22458190e-01 5.84550040e-01 1.83010353e-01
 9.76904699e-03]",0.9953085111207137,0.9769518876428339,1
27,equal-frequency,[  0.     95.01  111.05  126.061 144.938 243.   ],[0.20876029 0.19299177 0.20169896 0.19463764 0.20191134],0.9412778640612134,0.981615744863654,1
28,kbins,[  0.      48.4636  96.9272 145.3908 193.8544 242.318 ],"[2.12370587e-04 2.22458190e-01 5.84550040e-01 1.83010353e-01
 9.76904699e-03]",0.9985310195812814,0.9769105309366046,1
29,kbins-quantile,[  0.      95.01   111.0496 126.061  144.9382 242.318 ],[0.20876029 0.19299177 0.20169896 0.19463764 0.20191134],0.9409386107756478,0.9815642102749147,1
30,decision-tree,"[  0.          88.15800095  93.94549942 103.19250107 105.39500046
 243.        ]",[0.12014866 0.05611893 0.13963366 0.03111229 0.65298646],0.8714125091311236,0.975624340813943,1
31,kmeans,"[  0.          82.34667914 101.93811898 124.312086   146.6126548
 243.        ]",[0.08112556 0.21422883 0.27071941 0.24895142 0.18497478],0.9466132223989883,0.9883003700554367,1
32,random-forest,"[  0.          72.60050201  88.06700134  93.93649673 103.24250031
 113.62650299 243.        ]",[0.01454739 0.10560127 0.05611893 0.13963366 0.10528272 0.57881603],0.9583254286200051,0.8762385951862185,1
33,equal-width,"[  0.          41.66666667  83.33333333 125.         166.66666667
 208.33333333 250.        ]","[1.06185293e-04 8.74435891e-02 4.78524024e-01 3.51314043e-01
 8.18688612e-02 7.43297053e-04]",0.9494962898306856,0.8889793789065513,1
34,equal-width-data,[  0.     40.386  80.773 121.159 161.545 201.932 243.   ],"[1.06185293e-04 6.42951951e-02 4.56490576e-01 3.78762941e-01
 9.51951155e-02 5.14998673e-03]",0.9461309175090774,0.8915359014747128,1
35,equal-frequency,[  0.     92.591 104.854 120.013 130.03  149.753 243.   ],[0.16580834 0.16410937 0.18189541 0.16230422 0.15795062 0.16793204],0.890782067644494,0.8840764240180851,1
36,kbins,"[  0.          40.38633333  80.77266667 121.159      161.54533333
 201.93166667 242.318     ]","[1.06185293e-04 6.42951951e-02 4.56490576e-01 3.78762941e-01
 9.51951155e-02 5.14998673e-03]",0.9501063549750756,0.8918259464050425,1
37,kbins-quantile,[  0.     92.591 104.854 120.013 130.03  149.753 242.318],[0.16580834 0.16410937 0.18189541 0.16230422 0.15795062 0.16793204],0.890659522136775,0.884347786705455,1
38,decision-tree,"[  0.          88.15800095  89.4109993   93.94549942 103.19250107
 105.39500046 243.        ]",[0.12014866 0.00748606 0.04863286 0.13963366 0.03111229 0.65298646],0.8750405717420919,0.8739978078250359,1
39,kmeans,"[  0.          79.37721325  97.95096564 116.99110563 132.26889551
 152.58644837 243.        ]",[0.0505442  0.1841253  0.21773294 0.23774887 0.16697637 0.14287231],0.8859818744711915,0.8852944150349239,1
40,random-forest,"[  0.          72.37150192  87.68449783  93.74950027 100.88850021
 105.0644989  114.47200012 243.        ]","[0.01454739 0.0974781  0.0642421  0.11075126 0.05999469 0.08436422
 0.56862225]",0.9875065762741826,0.8647003648494461,1
41,equal-width,"[  0.          35.71428571  71.42857143 107.14285714 142.85714286
 178.57142857 214.28571429 250.        ]","[1.06185293e-04 1.25298646e-02 3.50942394e-01 4.19962835e-01
 1.82638705e-01 3.36607380e-02 1.59277940e-04]",0.9022111268659699,0.8524484191714392,1
42,equal-width-data,[  0.     34.617  69.234 103.851 138.467 173.084 207.701 243.   ],"[1.06185293e-04 8.97265729e-03 3.06822405e-01 4.24900451e-01
 2.02973188e-01 5.50039819e-02 1.22113087e-03]",0.8907249024171849,0.8557651484855554,1
43,equal-frequency,[  0.     90.12  100.268 114.06  124.967 135.223 152.52  243.   ],"[0.14457128 0.14244757 0.14435891 0.13469604 0.14897797 0.14207592
 0.14287231]",0.8475664036307675,0.8641813786237549,1
44,kbins,"[  0.          34.61685714  69.23371429 103.85057143 138.46742857
 173.08428571 207.70114286 242.318     ]","[1.06185293e-04 8.97265729e-03 3.06822405e-01 4.24900451e-01
 2.02973188e-01 5.50039819e-02 1.22113087e-03]",0.8963929142430161,0.8559831306194055,1
45,kbins-quantile,"[  0.          90.12014286 100.26814286 114.05985714 124.96657143
 135.22285714 152.51971429 242.318     ]","[0.14457128 0.14244757 0.14435891 0.13469604 0.14897797 0.14207592
 0.14287231]",0.8476339154424891,0.8644129314792443,1
46,decision-tree,"[  0.          88.15800095  89.36650085  89.4109993   93.94549942
 103.19250107 105.39500046 243.        ]","[0.12014866 0.00748606 0.         0.04863286 0.13963366 0.03111229
 0.65298646]",0.8750405717420919,0.8645867251414779,1
47,kmeans,"[  0.          78.39321667  95.31533012 109.60753527 125.21541773
 142.72118328 163.87011258 243.        ]","[0.04597823 0.16278205 0.17164853 0.20472525 0.19840722 0.12205999
 0.09439873]",0.8337272551503774,0.863247784427527,1
48,random-forest,"[  0.          65.65600204  87.7380709   93.3730714   98.6037881
 103.85500009 106.86221531 118.07985851 243.        ]","[0.00398195 0.10804354 0.0642421  0.07417043 0.06546323 0.04013804
 0.11632599 0.52763472]",0.987060785607372,0.8560396539997471,1
49,equal-width,[  0.    31.25  62.5   93.75 125.   156.25 187.5  218.75 250.  ],"[1.06185293e-04 2.28298381e-03 1.73878418e-01 3.89806212e-01
 3.10061057e-01 1.07671887e-01 1.61401646e-02 5.30926467e-05]",0.8888343471978569,0.8272437005632849,1
50,equal-width-data,[  0.     30.29   60.58   90.869 121.159 151.449 181.739 212.028 243.   ],"[1.06185293e-04 1.22113087e-03 1.43243961e-01 3.76320680e-01
 3.30926467e-01 1.23971330e-01 2.39447836e-02 2.65463233e-04]",0.8828962386622862,0.8311446227194332,1
51,equal-frequency,[  0.     89.022  98.368 108.948 120.013 127.988 139.931 156.113 243.   ],"[0.12763472 0.12280329 0.12205999 0.1393151  0.10331829 0.13002389
 0.13097956 0.12386514]",0.8124363653502987,0.8491713933257206,1
52,kbins,"[  0.       30.28975  60.5795   90.86925 121.159   151.44875 181.7385
 212.02825 242.318  ]","[1.06185293e-04 1.22113087e-03 1.43243961e-01 3.76320680e-01
 3.30926467e-01 1.23971330e-01 2.39447836e-02 2.65463233e-04]",0.8903589514936401,0.8313308029688311,1
53,kbins-quantile,"[  0.       89.02225  98.368   108.94825 120.013   127.988   139.931
 156.11275 242.318  ]","[0.12763472 0.12280329 0.12205999 0.1393151  0.10331829 0.13002389
 0.13097956 0.12386514]",0.8126717659272462,0.849379900249182,1
54,decision-tree,"[  0.          88.15800095  89.36650085  89.4109993   93.94549942
 100.05550003 103.19250107 105.39500046 243.        ]","[0.12014866 0.00748606 0.         0.04863286 0.11075126 0.0288824
 0.03111229 0.65298646]",0.8931637861174152,0.8566987311342357,1
55,kmeans,"[  0.          78.48855162  95.37878493 109.55211364 124.77358093
 139.72313263 154.8335594  173.58457122 243.        ]","[0.04597823 0.16278205 0.17164853 0.18566499 0.1790815  0.11967083
 0.07894877 0.05622511]",0.7869146821225903,0.8450671267991847,1
56,random-forest,"[  0.          72.60000229  87.73799992  93.58549786  99.92543745
 103.10200119 105.01275063 113.08924866 124.019876   243.        ]","[0.01454739 0.0974781  0.0642421  0.08298381 0.05664985 0.03111229
 0.07417043 0.14488983 0.4339262 ]",0.9222436179024417,0.8470629986140225,1
57,equal-width,"[  0.          27.77777778  55.55555556  83.33333333 111.11111111
 138.88888889 166.66666667 194.44444444 222.22222222 250.        ]","[1.06185293e-04 2.65463233e-04 8.71781258e-02 3.14202283e-01
 3.39049642e-01 1.76586143e-01 7.34271303e-02 9.13193523e-03
 5.30926467e-05]",0.8497967669792366,0.8076385472247251,1
58,equal-width-data,"[  0.     26.924  53.848  80.773 107.697 134.621 161.545 188.47  215.394
 243.   ]","[1.06185293e-04 2.12370587e-04 6.40828245e-02 2.99177064e-01
 3.42606849e-01 1.93469604e-01 8.54791611e-02 1.47597558e-02
 1.06185293e-04]",0.8407504461133508,0.8120281421619241,1
59,equal-frequency,"[  0.     87.205  96.424 104.854 115.715 123.971 130.03  141.894 159.966
 243.   ]","[0.11202548 0.11064508 0.10724715 0.11372445 0.10618529 0.12428989
 0.1017786  0.10820281 0.11590125]",0.7783243864710322,0.8371112086008461,1
60,kbins,"[  0.          26.92422222  53.84844444  80.77266667 107.69688889
 134.62111111 161.54533333 188.46955556 215.39377778 242.318     ]","[1.06185293e-04 2.12370587e-04 6.40828245e-02 2.99177064e-01
 3.42606849e-01 1.93469604e-01 8.54791611e-02 1.47597558e-02
 1.06185293e-04]",0.849290752146266,0.8121954692629123,1
61,kbins-quantile,"[  0.          87.20533333  96.42433333 104.854      115.715
 123.97133333 130.03       141.894      159.96633333 242.318     ]","[0.11202548 0.11064508 0.10724715 0.11372445 0.10618529 0.12428989
 0.1017786  0.10820281 0.11590125]",0.7786379405888061,0.8373041921649842,1
62,decision-tree,"[  0.          88.15800095  89.36650085  89.4109993   93.94549942
 100.01449966 100.05550003 103.19250107 105.39500046 243.        ]","[0.12014866 0.00748606 0.         0.04863286 0.11075126 0.
 0.0288824  0.03111229 0.65298646]",0.8931637861174152,0.8502058338526485,1
63,kmeans,"[  0.          77.73838957  92.90480127 104.11715455 117.29847714
 127.49584531 140.04622469 154.06729142 172.83111566 243.        ]","[0.03907619 0.12673215 0.16410937 0.130661   0.15455269 0.15641094
 0.09328378 0.0765065  0.05866737]",0.752519567398302,0.8318508655093515,1
64,random-forest,"[  0.          61.76000023  85.06527922  92.58677885  97.05383428
 100.6850001  104.97205565 108.9615008  115.71099938 129.80533091
 243.        ]","[0.00159278 0.09917706 0.06503849 0.06886116 0.05234935 0.04289886
 0.0425803  0.07114415 0.20456597 0.35179188]",0.8981763329760654,0.8381008654176291,1
65,equal-width,[  0.  25.  50.  75. 100. 125. 150. 175. 200. 225. 250.],"[1.06185293e-04 1.06185293e-04 1.90071675e-02 2.40031856e-01
 3.06822405e-01 2.65994160e-01 1.19511548e-01 4.16246350e-02
 6.74276613e-03 5.30926467e-05]",0.8114364231278492,0.7913841767682983,2
66,equal-width-data,"[  0.     24.232  48.464  72.695  96.927 121.159 145.391 169.623 193.854
 218.086 243.   ]","[1.06185293e-04 1.06185293e-04 1.43350146e-02 2.08123175e-01
 2.98221396e-01 2.86328643e-01 1.18662065e-01 6.43482878e-02
 9.71595434e-03 5.30926467e-05]",0.80605710273847,0.7962021035795666,1
67,equal-frequency,"[  0.     85.44   95.01  101.996 111.05  120.013 126.061 133.869 144.938
 161.673 243.   ]","[0.10076984 0.10799044 0.08659411 0.10639766 0.11006106 0.09163791
 0.09471728 0.09992036 0.10156623 0.1003451 ]",0.750236836469646,0.8260265144308959,1
68,kbins,"[  0.      24.2318  48.4636  72.6954  96.9272 121.159  145.3908 169.6226
 193.8544 218.0862 242.318 ]","[1.06185293e-04 1.06185293e-04 1.43350146e-02 2.08123175e-01
 2.98221396e-01 2.86328643e-01 1.18662065e-01 6.43482878e-02
 9.71595434e-03 5.30926467e-05]",0.8154125765598061,0.7963563195978904,1
69,kbins-quantile,"[  0.      85.44    95.01   101.9964 111.0496 120.013  126.061  133.8688
 144.9382 161.6728 242.318 ]","[0.10076984 0.10799044 0.08659411 0.10639766 0.11006106 0.09163791
 0.09471728 0.09992036 0.10156623 0.1003451 ]",0.7507198850801219,0.8262072372144538,1
70,decision-tree,"[  0.          88.15800095  89.36650085  89.4109993   93.94549942
 100.01449966 100.01549911 100.05550003 103.19250107 105.39500046
 243.        ]","[0.12014866 0.00748606 0.         0.04863286 0.11075126 0.
 0.         0.0288824  0.03111229 0.65298646]",0.8931637861174152,0.8439952674895264,1
71,kmeans,"[  0.          77.22789111  91.5241925  101.35227098 111.6753967
 121.40914784 129.76373657 141.79295504 155.69238041 173.6258927
 243.        ]","[0.03907619 0.11361826 0.14265994 0.10639766 0.1191399  0.12731617
 0.12768782 0.09482347 0.07305548 0.05622511]",0.7237163918180174,0.8208576019142256,1
72,random-forest,"[  0.          62.04649925  83.79680023  88.85630188  93.87419968
  98.06060104 102.07100296 104.95989914 109.03440018 118.15279922
 131.39730072 243.        ]","[0.00238917 0.08516061 0.03259889 0.05611893 0.07417043 0.05606583
 0.02341386 0.05049111 0.09195646 0.20844173 0.31919299]",0.8684266423698381,0.8307676337117255,1
73,bayesian-blocks,"[  0.      56.984   59.939   65.727   71.902   74.9495  75.0225  75.0235
  75.1075  75.98    76.071   76.954   77.2245  77.4865  77.5375  77.971
  78.064   78.5525  78.9075  79.896   79.9815  80.0305  80.1195  80.9595
  81.03    81.032   81.0495  81.9585  82.036   82.964   83.0825  83.9355
  84.0255  84.9655  85.0665  85.8795  86.0705  87.9635  88.047   88.9445
  89.025   89.7095  89.9295  89.932   89.9635  90.061   90.993   91.0575
  91.9095  91.9945  92.0245  92.0885  92.908   93.0455  93.9285  93.9915
  94.037   94.124   94.4185  94.4205  94.9665  95.065   95.5495  95.757
  95.945   95.9505  96.0575  96.5045  96.5195  96.962   97.0435  97.062
  97.0645  97.8645  97.9935  97.9945  98.0355  98.0535  98.0565  98.081
  98.3745  98.8085  98.967   99.019   99.1725  99.8945  99.9735 100.009
 100.0275 100.0485 100.0495 100.0845 100.9665 101.049  101.963  102.0665
 102.9545 103.057  103.668  103.95   104.0525 104.0535 104.0565 104.8445
 104.8525 104.942  105.0475 105.0495 105.0715 105.9365 106.1025 106.885
 107.084  107.1745 107.1795 107.969  108.055  108.9415 108.9935 109.
 109.069  109.8945 109.9715 110.035  110.1325 110.964  111.0755 111.494
 111.9225 112.0635 112.5025 112.5045 112.9475 113.05   113.9495 114.0325
 114.0335 114.956  115.0275 115.0795 115.9685 116.0755 116.95   117.0535
 117.926  117.988  118.027  118.1585 118.16   118.7985 118.987  119.0075
 119.8505 119.9265 119.9705 120.0125 120.0145 120.0665 120.194  120.9605
 121.033  121.372  121.879  121.951  122.0065 122.0075 122.102  122.947
 123.0245 123.0665 123.0705 123.929  123.9935 123.9945 124.0155 124.0165
 124.0445 124.1025 124.8945 124.9775 125.0435 125.078  125.1695 125.8805
 125.977  125.9785 126.0725 126.683  126.6955 126.9705 126.973  127.0885
 127.8625 127.9465 128.0475 128.1045 128.8895 128.9805 128.9825 129.032
 129.7735 129.891  129.9515 129.953  129.9915 129.9985 130.0625 130.1045
 130.988  131.0535 131.9185 132.081  132.965  133.0015 133.003  133.034
 133.923  134.0795 134.928  135.117  135.9145 136.0385 136.0485 136.1205
 136.9405 137.0905 137.9475 138.0655 139.857  139.938  140.0805 140.181
 141.882  142.089  143.     143.039  143.926  144.0915 144.9265 145.0275
 145.0285 145.1195 145.8845 146.0665 146.0805 147.0075 147.0505 147.0585
 147.89   148.158  149.6645 149.8635 149.9885 149.99   150.0355 150.0365
 150.0745 150.1645 150.9525 150.956  151.882  152.0815 153.0675 153.0935
 153.933  154.0935 154.871  154.9825 154.9845 155.0215 155.2045 155.86
 156.001  156.0395 157.9035 158.087  159.7565 159.9615 160.0975 160.158
 161.9325 162.117  162.8295 163.2195 163.8715 164.056  164.931  165.1015
 165.706  166.0405 166.046  166.1925 167.8055 168.1755 169.9085 170.0435
 170.2455 171.8045 172.0045 172.1135 173.8615 174.1575 174.919  175.044
 175.7965 176.1975 177.739  178.122  179.8395 180.1155 181.9655 182.0195
 189.842  190.079  191.9065 192.1635 199.829  200.06   203.8685 203.965
 208.1325 215.4005 242.318 ]","[0.00037165 0.00042474 0.00318556 0.0086541  0.00658349 0.00817627
 0.         0.         0.         0.00637112 0.         0.00530926
 0.         0.         0.         0.00690204 0.         0.
 0.00456597 0.         0.01385718 0.         0.         0.00854792
 0.         0.         0.         0.00817627 0.         0.00642421
 0.         0.00584019 0.         0.00737988 0.         0.00621184
 0.0050438  0.00812317 0.         0.00748606 0.         0.
 0.         0.         0.01693655 0.         0.00812317 0.
 0.         0.01311388 0.         0.         0.01045925 0.
 0.         0.0151314  0.         0.         0.         0.
 0.0173613  0.         0.         0.         0.         0.01391027
 0.         0.         0.         0.01199894 0.         0.
 0.         0.         0.         0.01576852 0.         0.
 0.         0.         0.         0.         0.00881338 0.
 0.         0.         0.02776745 0.         0.         0.
 0.         0.         0.00833555 0.         0.01114946 0.
 0.0093974  0.         0.         0.01401646 0.         0.
 0.         0.         0.         0.01709583 0.         0.
 0.         0.00902575 0.         0.00753916 0.         0.
 0.         0.00891956 0.         0.         0.         0.0079108
 0.         0.         0.01481285 0.         0.         0.0065304
 0.         0.         0.01099018 0.         0.         0.
 0.00844173 0.         0.01019379 0.         0.         0.0122644
 0.         0.         0.00876029 0.         0.00817627 0.
 0.         0.01178657 0.         0.         0.         0.
 0.00881338 0.         0.         0.         0.03063446 0.
 0.         0.         0.         0.00907884 0.         0.
 0.         0.01449429 0.         0.         0.         0.0144412
 0.         0.         0.         0.         0.         0.01624635
 0.         0.         0.         0.         0.         0.01906026
 0.         0.         0.         0.         0.         0.01831696
 0.         0.         0.         0.         0.01168038 0.
 0.         0.0252721  0.         0.         0.         0.
 0.00780462 0.         0.         0.         0.         0.
 0.         0.02590921 0.         0.         0.00668967 0.
 0.00934431 0.         0.00801699 0.         0.         0.
 0.00801699 0.         0.00886647 0.         0.01035307 0.
 0.         0.         0.00668967 0.         0.00870719 0.0043536
 0.         0.02638705 0.         0.0043536  0.00764534 0.
 0.00568091 0.         0.00886647 0.         0.00913194 0.
 0.         0.         0.00780462 0.         0.00615875 0.
 0.         0.         0.00828245 0.00260154 0.         0.
 0.         0.016618   0.         0.         0.         0.
 0.         0.00313247 0.00530926 0.00323865 0.         0.
 0.00445978 0.         0.         0.         0.00589328 0.
 0.         0.00541545 0.         0.00233608 0.00376958 0.00185824
 0.         0.01359172 0.         0.00196443 0.00339793 0.
 0.00254845 0.         0.00408813 0.         0.00307937 0.
 0.00461906 0.         0.         0.00233608 0.0043005  0.00185824
 0.00727369 0.         0.00233608 0.00584019 0.         0.00244226
 0.00780462 0.         0.00339793 0.         0.00536236 0.00212371
 0.00371649 0.00191134 0.0064773  0.00122113 0.0021768  0.00753916
 0.00153969 0.0006902  0.00196443 0.00350411 0.00138041 0.00148659
 0.         0.00318556 0.00063711 0.00010619]",0.0,0.0,1
