ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
25,equal-width,[0.  0.2 0.4 0.6 0.8 1. ],[0.84289886 0.13087337 0.02378551 0.00148659 0.00095567],0.5688402421466892,0.36051087198245535,1
26,equal-width-data,[0.    0.188 0.376 0.565 0.753 1.   ],[0.83525352 0.13267852 0.02914786 0.00175206 0.00116804],0.6341987674302005,0.3771840240667118,1
27,equal-frequency,[0.     0.0354 0.0468 0.0702 0.152  1.    ],[0.19129281 0.18370056 0.249854   0.17855057 0.19660207],0.930277142100174,0.4478041475541289,1
28,kbins,[0.     0.1882 0.3764 0.5646 0.7528 0.941 ],[0.83525352 0.13267852 0.02914786 0.00175206 0.00116804],0.6341987674302005,0.38606147010242897,1
29,kbins-quantile,[0.     0.0354 0.0468 0.0702 0.152  0.941 ],[0.19129281 0.18370056 0.249854   0.17855057 0.19660207],0.930277142100174,0.457795924669371,1
30,decision-tree,[0.         0.02795    0.04315    0.09515    0.73700002 1.        ],[0.00376958 0.37122379 0.31791877 0.30565437 0.0014335 ],0.9900361561395351,0.4244313938631743,1
31,kmeans,[0.         0.04607385 0.1246651  0.24734698 0.38801107 1.        ],[0.37499336 0.38662065 0.12747544 0.08202814 0.0288824 ],0.9945523921240529,0.46035436590451884,1
32,random-forest,[0.      0.02535 0.04241 0.09135 0.1047  0.3571  1.     ],[0.00376958 0.37122379 0.31791877 0.02718344 0.24050969 0.03939474],0.7379468502437765,0.8163111639251094,1
33,equal-width,"[0.         0.16666667 0.33333333 0.5        0.66666667 0.83333333
 1.        ]","[8.13379347e-01 1.37085214e-01 4.40138041e-02 3.55720733e-03
 1.38040881e-03 5.84019113e-04]",0.7220990853957394,0.7203001510756764,1
34,equal-width-data,[0.    0.157 0.314 0.47  0.627 0.784 1.   ],[0.80339793 0.13374038 0.05426068 0.00626493 0.00122113 0.00111495],0.7562871332630112,0.7546198685153033,1
35,equal-frequency,[0.     0.0338 0.0427 0.0555 0.0857 0.183  1.    ],[0.19129281 0.18370056 0.12014866 0.1681975  0.17191399 0.16474648],0.9755888088369119,0.7410124103458937,1
36,kbins,"[0.         0.15683333 0.31366667 0.4705     0.62733333 0.78416667
 0.941     ]",[0.80339793 0.13374038 0.05521635 0.00530926 0.00122113 0.00111495],0.7562871332630112,0.7526810436293802,1
37,kbins-quantile,[0.     0.0338 0.0427 0.0555 0.0857 0.183  0.941 ],[0.19129281 0.18370056 0.12014866 0.1681975  0.17191399 0.16474648],0.9755888088369119,0.739336923168542,1
38,decision-tree,"[0.         0.02795    0.04315    0.04775    0.09515    0.73700002
 1.        ]",[0.00376958 0.37122379 0.         0.31791877 0.30565437 0.0014335 ],0.9900361561395351,0.8336653605817123,1
39,kmeans,"[0.         0.04375127 0.10485817 0.19800631 0.30195818 0.4276256
 1.        ]",[0.37499336 0.3451022  0.12280329 0.08781524 0.05250863 0.01677728],0.8901537080355223,0.9104134680212148,1
40,random-forest,[0.      0.02535 0.0363  0.04805 0.0907  0.09645 0.34575 1.     ],"[0.00376958 0.18752323 0.18370056 0.31791877 0.         0.26392355
 0.04316432]",0.7373623342923369,0.33339485637457833,1
41,equal-width,"[0.         0.14285714 0.28571429 0.42857143 0.57142857 0.71428571
 0.85714286 1.        ]","[7.92567029e-01 1.26041943e-01 6.46137510e-02 1.40695514e-02
 9.55667640e-04 1.16803823e-03 5.84019113e-04]",0.8064849257597274,0.4572240490556453,1
42,equal-width-data,[0.    0.134 0.269 0.403 0.538 0.672 0.807 1.   ],"[0.77743563 0.12567029 0.07358641 0.01980356 0.00153969 0.00106185
 0.00090257]",0.8501042279028264,0.4626087043392667,1
43,equal-frequency,[0.     0.0329 0.0396 0.049  0.0653 0.103  0.21   1.    ],"[0.19129281 0.         0.18370056 0.19426599 0.15083621 0.13235997
 0.14754447]",0.9321844455883512,0.2964633564056285,1
44,kbins,"[0.         0.13442857 0.26885714 0.40328571 0.53771429 0.67214286
 0.80657143 0.941     ]","[0.77743563 0.12567029 0.07358641 0.01980356 0.00153969 0.00106185
 0.00090257]",0.8501042279028264,0.48990134013694475,1
45,kbins-quantile,[0.     0.0329 0.0396 0.049  0.0653 0.103  0.21   0.941 ],"[0.19129281 0.         0.18370056 0.19426599 0.15083621 0.13235997
 0.14754447]",0.9321844455883512,0.3171235057096812,1
46,decision-tree,"[0.         0.02795    0.04315    0.04725    0.04775    0.09515
 0.73700002 1.        ]","[0.00376958 0.37122379 0.         0.         0.31791877 0.30565437
 0.0014335 ]",0.9900361561395351,0.3993459507310122,1
47,kmeans,"[0.         0.04004165 0.08014589 0.14293864 0.22938757 0.32130961
 0.43718574 1.        ]","[0.37499336 0.28834616 0.1292275  0.07794001 0.07337404 0.04119989
 0.01491903]",0.7892519221174414,0.40556675247790863,1
48,random-forest,"[0.         0.02505    0.03629286 0.04753571 0.08897857 0.09562143
 0.27664286 0.39407143 1.        ]","[0.00376958 0.18752323 0.18370056 0.28834616 0.0295726  0.21762676
 0.06323334 0.02622777]",0.5347159127647545,0.28761511963942543,1
49,equal-width,[0.    0.125 0.25  0.375 0.5   0.625 0.75  0.875 1.   ],"[7.61614016e-01 1.27475445e-01 7.88425803e-02 2.65463233e-02
 3.18555880e-03 1.06185293e-03 7.96389700e-04 4.77833820e-04]",0.8813796805810369,0.3088203061314422,1
50,equal-width-data,[0.    0.118 0.235 0.353 0.47  0.588 0.706 0.823 1.   ],"[0.73984603 0.14048314 0.08027608 0.03079374 0.00594638 0.00090257
 0.00095567 0.00079639]",0.9097156560966351,0.3244551386567238,1
51,equal-frequency,[0.     0.0322 0.0378 0.0451 0.0555 0.0751 0.119  0.229  1.    ],"[0.19129281 0.         0.18370056 0.12014866 0.12970534 0.11499867
 0.130661   0.12949297]",0.8634975747508198,0.2550003570947945,1
52,kbins,"[0.       0.117625 0.23525  0.352875 0.4705   0.588125 0.70575  0.823375
 0.941   ]","[0.73984603 0.14048314 0.08027608 0.0317494  0.00499071 0.00090257
 0.00095567 0.00079639]",0.9097156560966351,0.34583449537963507,1
53,kbins-quantile,"[0.       0.0322   0.0378   0.045075 0.0555   0.0751   0.119    0.229
 0.941   ]","[0.19129281 0.         0.18370056 0.12014866 0.12970534 0.11499867
 0.130661   0.12949297]",0.8634975747508198,0.2744774966691267,1
54,decision-tree,"[0.         0.02795    0.04315    0.04725    0.04735    0.04775
 0.09515    0.73700002 1.        ]","[0.00376958 0.37122379 0.         0.         0.         0.31791877
 0.30565437 0.0014335 ]",0.9900361561395351,0.16530119647939556,1
55,kmeans,"[0.         0.03810161 0.06898786 0.11699681 0.18023323 0.25288024
 0.33488654 0.4434109  1.        ]","[0.19129281 0.37796655 0.17058667 0.09540749 0.05988851 0.05532254
 0.03642156 0.01311388]",0.6771913956777482,0.3297094400286531,1
56,random-forest,"[0.        0.02505   0.036625  0.046025  0.055575  0.090025  0.0962875
 0.28175   0.3836875 1.       ]","[0.00376958 0.18752323 0.18370056 0.12014866 0.19777011 0.
 0.22569684 0.05250863 0.0288824 ]",0.52256410973002,0.2222524659597801,1
57,equal-width,"[0.         0.11111111 0.22222222 0.33333333 0.44444444 0.55555556
 0.66666667 0.77777778 0.88888889 1.        ]","[7.39846031e-01 1.30661003e-01 7.99575259e-02 3.64215556e-02
 1.01406955e-02 1.00876029e-03 8.49482347e-04 6.37111760e-04
 4.77833820e-04]",0.9413379195484067,0.20082149798650428,1
58,equal-width-data,[0.    0.105 0.209 0.314 0.418 0.523 0.627 0.732 0.836 1.   ],"[7.20095567e-01 1.32359968e-01 8.46827714e-02 4.36952482e-02
 1.50252190e-02 1.80514999e-03 9.02574993e-04 8.49482347e-04
 5.84019113e-04]",0.9786493998267979,0.22323382527442726,1
59,equal-frequency,[0.     0.0316 0.0365 0.0427 0.0503 0.0628 0.0857 0.135  0.245  1.    ],"[0.19129281 0.         0.18370056 0.12014866 0.07411733 0.09408017
 0.1140961  0.11165384 0.11091054]",0.7957966019840863,0.2379587011229265,1
60,kbins,"[0.         0.10455556 0.20911111 0.31366667 0.41822222 0.52277778
 0.62733333 0.73188889 0.83644444 0.941     ]","[7.20095567e-01 1.32359968e-01 8.46827714e-02 4.36952482e-02
 1.50252190e-02 1.80514999e-03 9.02574993e-04 8.49482347e-04
 5.84019113e-04]",0.9786493998267979,0.24184678499139678,1
61,kbins-quantile,[0.     0.0316 0.0365 0.0427 0.0503 0.0628 0.0857 0.135  0.245  0.941 ],"[0.19129281 0.         0.18370056 0.12014866 0.07411733 0.09408017
 0.1140961  0.11165384 0.11091054]",0.7957966019840863,0.25699028353024933,1
62,decision-tree,"[0.         0.02795    0.04315    0.04725    0.04735    0.04775
 0.08825    0.09515    0.73700002 1.        ]","[0.00376958 0.37122379 0.         0.         0.         0.28834616
 0.0295726  0.30565437 0.0014335 ]",0.9372288515270097,0.16207297372379503,1
63,kmeans,"[0.         0.03793048 0.0680383  0.11352733 0.17020718 0.23688326
 0.30909101 0.38615873 0.4767619  1.        ]","[0.19129281 0.37796655 0.17058667 0.08723122 0.05325192 0.05038492
 0.0404035  0.02123706 0.00764534]",0.6178308728685398,0.288035610462385,1
64,random-forest,"[0.         0.02295    0.03475    0.04325    0.04945    0.08475
 0.09425    0.1165     0.30149999 0.4135     1.        ]","[0.00376958 0.18752323 0.18370056 0.         0.28834616 0.0295726
 0.0469339  0.19086806 0.05011946 0.01916645]",0.4698693089731252,0.21221761327145472,1
65,equal-width,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],"[6.92912132e-01 1.49986727e-01 8.78152376e-02 4.30581364e-02
 2.07061322e-02 3.07937351e-03 6.90204407e-04 7.96389700e-04
 6.90204407e-04 2.65463233e-04]",0.9890854994988858,0.11449083700677087,2
66,equal-width-data,"[0.     0.0941 0.188  0.282  0.376  0.47   0.565  0.659  0.753  0.847
 1.    ]","[6.92912132e-01 1.42341386e-01 8.33554553e-02 4.93230688e-02
 2.34669498e-02 5.68091319e-03 8.49482347e-04 9.02574993e-04
 5.84019113e-04 5.84019113e-04]",0.9531582435946342,0.14219379072215188,1
67,equal-frequency,"[0.     0.0311 0.0354 0.0404 0.0468 0.0555 0.0702 0.0976 0.152  0.26
 1.    ]","[0.19129281 0.         0.18370056 0.         0.12014866 0.12970534
 0.06806477 0.1104858  0.09174409 0.10485798]",0.7612406486654191,0.2279385408951251,1
68,kbins,"[0.     0.0941 0.1882 0.2823 0.3764 0.4705 0.5646 0.6587 0.7528 0.8469
 0.941 ]","[6.92912132e-01 1.42341386e-01 8.33554553e-02 4.93230688e-02
 2.44226175e-02 4.72524555e-03 8.49482347e-04 9.02574993e-04
 5.84019113e-04 5.84019113e-04]",0.9531582435946342,0.15913589970398978,1
69,kbins-quantile,"[0.      0.0311  0.0354  0.0404  0.0468  0.0555  0.0702  0.09758 0.152
 0.26    0.941  ]","[0.19129281 0.         0.18370056 0.         0.12014866 0.12970534
 0.06806477 0.1104858  0.09174409 0.10485798]",0.7612406486654191,0.24671757099971292,1
70,decision-tree,"[0.         0.02795    0.04315    0.04725    0.04735    0.04775
 0.08825    0.09025    0.09515    0.73700002 1.        ]","[0.00376958 0.37122379 0.         0.         0.         0.28834616
 0.0295726  0.         0.30565437 0.0014335 ]",0.9372288515270097,0.1608582091598938,1
71,kmeans,"[0.         0.03775311 0.06638889 0.10730319 0.15473464 0.20890508
 0.26362895 0.32401813 0.39599341 0.48333641 1.        ]","[0.19129281 0.37796655 0.15083621 0.08330236 0.04905761 0.05065038
 0.04077515 0.02989116 0.01969737 0.0065304 ]",0.5605889406550191,0.2517209003202151,1
72,random-forest,"[0.         0.02535    0.03529    0.04321    0.04799    0.06227
 0.0902     0.09524    0.1951     0.3427     0.41429999 1.        ]","[0.00376958 0.18752323 0.18370056 0.         0.19426599 0.12365277
 0.         0.14998673 0.11393682 0.02399788 0.01916645]",0.4130135162482661,0.1976695703085306,1
73,bayesian-blocks,"[0.      0.0226  0.02425 0.02515 0.02605 0.02715 0.02845 0.03805 0.04065
 0.04315 0.04405 0.04565 0.04575 0.05455 0.06205 0.06215 0.07245 0.08295
 0.09025 0.09045 0.1175  0.1345  0.1725  0.2605  0.3455  0.3945  0.3955
 0.4115  0.4125  0.4635  0.4875  0.5435  0.941  ]","[0.00376958 0.         0.         0.         0.         0.
 0.18752323 0.18370056 0.         0.         0.         0.
 0.12014866 0.07411733 0.         0.055588   0.03849217 0.0295726
 0.         0.0469339  0.03758959 0.04964162 0.07602867 0.05372976
 0.01693655 0.         0.00706132 0.         0.01056544 0.00207061
 0.00334484 0.00318556]",0.0,0.0,1
