ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt,multi_attribute
28,kbins,[0.    1.054 2.098 3.142 4.186 5.23 ],[0.29029959 0.40099845 0.19600951 0.07360755 0.0390849 ],0.8694575574901442,0.8702134929158957,1,0
29,kbins-quantile,[0.   0.87 1.28 1.76 2.53 5.23],[0.19303912 0.19851913 0.20354534 0.20836945 0.19652696],0.8457211945055224,0.8538109959032562,1,0
30,decision-tree,[0.         0.875      1.15499997 2.005      3.005      6.        ],[0.19303912 0.15054638 0.34771254 0.18478457 0.12391739],0.8492619717701805,0.8781876475380879,1,0
31,kmeans,[0.         0.76499976 1.44650271 2.18741391 3.11238579 6.        ],[0.14123231 0.3400966  0.23637815 0.16960049 0.11269245],0.8409467016916743,0.8808950911414422,1,0
32,random-forest,"[0.         0.86500001 0.879      1.09299998 1.32499998 2.605
 6.        ]",[0.19303912 0.         0.09726047 0.14392546 0.3863872  0.17938775],0.8930324998633464,0.7248128324819278,1,0
33,equal-width,"[ 0.          1.66666667  3.33333333  5.          6.66666667  8.33333333
 10.        ]",[0.56143385 0.34511323 0.08506962 0.0083833  0.         0.        ],0.9549395216266294,0.7173816902519011,1,0
34,equal-width-data,[0.   0.88 1.75 2.62 3.49 4.36 6.  ],[0.19303912 0.40206447 0.22550866 0.09480032 0.05494345 0.02964399],0.805645095365598,0.7781128470454167,1,0
35,equal-frequency,[0.   0.8  1.13 1.5  1.97 2.73 6.  ],[0.14123231 0.20235319 0.13774342 0.18115474 0.17262921 0.16488713],0.7785481368851074,0.7349513782778432,1,0
36,kbins,[0.   0.88 1.75 2.62 3.49 4.36 5.23],[0.19303912 0.40206447 0.22550866 0.09480032 0.05494345 0.02964399],0.805645095365598,0.7921776725636409,1,0
37,kbins-quantile,[0.   0.8  1.13 1.5  1.97 2.73 5.23],[0.14123231 0.20235319 0.13774342 0.18115474 0.17262921 0.16488713],0.7785481368851074,0.7466090313140785,1,0
38,decision-tree,"[0.         0.875      1.15499997 1.61500001 2.005      3.005
 6.        ]",[0.19303912 0.15054638 0.21784835 0.1298642  0.18478457 0.12391739],0.7770149959390398,0.7408619364571584,1,0
39,kmeans,"[0.         0.67396887 1.23151312 1.81163343 2.46837685 3.30932148
 6.        ]",[0.09734697 0.29421128 0.23740121 0.15429276 0.12329486 0.09345292],0.7737083401055052,0.7510260334781345,1,0
40,random-forest,"[0.         0.86500001 0.97166665 1.455      1.625      2.31500002
 3.01166666 6.        ]","[0.19303912 0.05034865 0.23794114 0.08010493 0.20127546 0.1133733
 0.12391739]",0.7389612383919362,0.7124275157632041,1,0
41,equal-width,"[ 0.          1.42857143  2.85714286  4.28571429  5.71428571  7.14285714
  8.57142857 10.        ]","[0.48132892 0.36830693 0.11636037 0.03400378 0.         0.
 0.        ]",0.9702588774455932,0.6389570912228066,1,0
42,equal-width-data,[0.    0.756 1.501 2.247 2.993 3.739 4.484 6.   ],"[0.14123231 0.37827239 0.22253047 0.12087766 0.07517303 0.03608185
 0.02583229]",0.7515364235042692,0.7356692609914242,1,0
43,equal-frequency,[0.   0.75 1.03 1.33 1.69 2.14 2.9  6.  ],"[0.14123231 0.14906728 0.14392546 0.1272088  0.15627321 0.13192878
 0.15036415]",0.718628835232057,0.7101294125354657,1,0
44,kbins,"[0.         0.75571429 1.50142857 2.24714286 2.99285714 3.73857143
 4.48428571 5.23      ]","[0.14123231 0.37827239 0.22253047 0.12087766 0.07517303 0.03608185
 0.02583229]",0.7515364235042692,0.7473487746428868,1,0
45,kbins-quantile,[0.   0.75 1.03 1.33 1.69 2.14 2.9  5.23],"[0.14123231 0.14906728 0.14392546 0.1272088  0.15627321 0.13192878
 0.15036415]",0.718628835232057,0.7207489147526749,1,0
46,decision-tree,"[0.         0.875      1.15499997 1.61500001 2.005      3.005
 4.10500002 6.        ]","[0.19303912 0.15054638 0.21784835 0.1298642  0.18478457 0.08483249
 0.0390849 ]",0.7252703244012948,0.7190545215498159,1,0
47,kmeans,"[0.         0.61399797 1.0954826  1.59638514 2.17058633 2.85154145
 3.64700617 6.        ]","[0.09734697 0.19295263 0.22920511 0.19820236 0.13192878 0.08209556
 0.06826859]",0.7126224132220594,0.7220251076252755,1,0
48,random-forest,"[0.         0.86500001 0.88071428 1.14642855 1.47642858 1.61785715
 1.95071428 3.00928571 6.        ]","[0.19303912 0.         0.15054638 0.13774342 0.08010493 0.10104981
 0.21359896 0.12391739]",0.7466522450041124,0.6922683921762565,1,0
49,equal-width,[ 0.    1.25  2.5   3.75  5.    6.25  7.5   8.75 10.  ],"[0.39155825 0.39169397 0.15483364 0.05353085 0.0083833  0.
 0.         0.        ]",0.933455231197206,0.5828242312268694,1,0
50,equal-width-data,[0.    0.663 1.315 1.968 2.62  3.272 3.925 4.578 6.   ],"[0.09734697 0.33687808 0.2282586  0.1581286  0.07706663 0.05268551
 0.02795249 0.02168312]",0.7077726543381649,0.7051070808565774,1,0
51,equal-frequency,[0.   0.7  0.97 1.21 1.5  1.83 2.3  3.04 6.  ],"[0.09734697 0.14604081 0.14817047 0.08977067 0.14763054 0.11307571
 0.13404744 0.12391739]",0.6668204187159876,0.6950449588085804,1,0
52,kbins,[0.     0.6625 1.315  1.9675 2.62   3.2725 3.925  4.5775 5.23  ],"[0.09734697 0.33687808 0.2282586  0.1581286  0.07706663 0.05268551
 0.02795249 0.02168312]",0.7077726543381649,0.7155518487031091,1,0
53,kbins-quantile,[0.   0.7  0.97 1.21 1.5  1.83 2.3  3.04 5.23],"[0.09734697 0.14604081 0.14817047 0.08977067 0.14763054 0.11307571
 0.13404744 0.12391739]",0.6668204187159876,0.7051207225272771,1,0
54,decision-tree,"[0.         0.875      1.15499997 1.61500001 2.005      2.51499999
 3.005      4.10500002 6.        ]","[0.19303912 0.15054638 0.21784835 0.1298642  0.112175   0.07260957
 0.08483249 0.0390849 ]",0.649290645724464,0.699665356069931,1,0
55,kmeans,"[0.         0.55040558 0.96590516 1.3978252  1.86931201 2.38246852
 2.98076955 3.71583544 6.        ]","[0.0606162  0.18277157 0.19083728 0.19473441 0.13374985 0.10020352
 0.07517303 0.06191414]",0.6695540041450514,0.6992920728018255,1,0
56,random-forest,"[0.         0.875      1.11249998 1.49250001 1.62125    2.255
 2.51874998 2.95250005 3.15124999 6.        ]","[0.19303912 0.15054638 0.13774342 0.08010493 0.18060132 0.06143787
 0.05943979 0.02439472 0.11269245]",0.6307572189991741,0.6928747108443514,1,0
57,equal-width,"[ 0.          1.11111111  2.22222222  3.33333333  4.44444444  5.55555556
  6.66666667  7.77777778  8.88888889 10.        ]","[0.3435855  0.39844967 0.16451192 0.06762063 0.02583229 0.
 0.         0.         0.        ]",0.8796294516378155,0.538275940785232,1,0
58,equal-width-data,[0.   0.59 1.17 1.75 2.33 2.91 3.49 4.07 4.65 6.  ],"[0.0606162  0.2829693  0.25151809 0.16760572 0.10020352 0.05249974
 0.04080858 0.0254547  0.01832415]",0.6783071791653446,0.6811640334767719,1,0
59,equal-frequency,[0.   0.69 0.9  1.13 1.38 1.63 1.97 2.41 3.17 6.  ],"[0.09734697 0.09569215 0.15054638 0.09063955 0.1272088  0.10104981
 0.12076856 0.10405533 0.11269245]",0.6264793040536527,0.6840839840703463,1,0
60,kbins,[0.   0.59 1.17 1.75 2.33 2.91 3.49 4.07 4.65 5.23],"[0.0606162  0.2829693  0.25151809 0.16760572 0.10020352 0.05249974
 0.04080858 0.0254547  0.01832415]",0.6783071791653446,0.6907871531071588,1,0
61,kbins-quantile,[0.   0.69 0.9  1.13 1.38 1.63 1.97 2.41 3.17 5.23],"[0.09734697 0.09569215 0.15054638 0.09063955 0.1272088  0.10104981
 0.12076856 0.10405533 0.11269245]",0.6264793040536527,0.6937988565409335,1,0
62,decision-tree,"[0.         0.875      1.15499997 1.32500005 1.61500001 2.005
 2.51499999 3.005      4.10500002 6.        ]","[0.19303912 0.15054638 0.09063955 0.1272088  0.1298642  0.112175
 0.07260957 0.08483249 0.0390849 ]",0.604975415225379,0.6798451105645176,1,0
63,kmeans,"[0.         0.49828547 0.87283236 1.25216919 1.65185349 2.08850928
 2.58354928 3.1739802  3.89507981 6.        ]","[0.0329535  0.16008562 0.19851913 0.1698756  0.1298642  0.112175
 0.08383451 0.05716979 0.05552266]",0.6271936170207479,0.6814638980252989,1,0
64,random-forest,"[0.         0.875      1.14944442 1.31388888 1.40166668 1.61277779
 1.70388889 2.29166671 2.5161111  2.96944447 6.        ]","[0.19303912 0.15054638 0.09063955 0.04710386 0.08010493 0.03366974
 0.14693158 0.06143787 0.05943979 0.13708717]",0.613554005704338,0.680879866842246,1,0
65,equal-width,[ 0.  1.  2.  3.  4.  5.  6.  7.  8.  9. 10.],"[0.24338778 0.41909588 0.20042918 0.08745156 0.04125231 0.0083833
 0.         0.         0.         0.        ]",0.8593609566836795,0.5008292046029932,1,0
66,equal-width-data,[0.    0.532 1.054 1.576 2.098 2.62  3.142 3.664 4.186 4.708 6.   ],"[0.0606162  0.22968339 0.22920511 0.17179334 0.12931421 0.0666953
 0.04442386 0.02918369 0.02421368 0.01487122]",0.6315283427603592,0.6613337707711768,1,0
67,equal-frequency,[0.   0.65 0.87 1.07 1.28 1.5  1.76 2.1  2.53 3.29 6.  ],"[0.09734697 0.09569215 0.09726047 0.10125865 0.08977067 0.11377467
 0.09619446 0.112175   0.09420584 0.10232112]",0.5859748769002705,0.6751686264232228,1,0
68,kbins,[0.    0.532 1.054 1.576 2.098 2.62  3.142 3.664 4.186 4.708 5.23 ],"[0.0606162  0.22968339 0.22920511 0.17179334 0.12931421 0.0666953
 0.04442386 0.02918369 0.02421368 0.01487122]",0.6315283427603592,0.6703774492622745,1,0
69,kbins-quantile,[0.   0.65 0.87 1.07 1.28 1.5  1.76 2.1  2.53 3.29 5.23],"[0.09734697 0.09569215 0.09726047 0.10125865 0.08977067 0.11377467
 0.09619446 0.112175   0.09420584 0.10232112]",0.5859748769002705,0.6846087629712101,1,0
70,decision-tree,"[0.         0.875      1.01499999 1.15499997 1.32500005 1.61500001
 2.005      2.51499999 3.005      4.10500002 6.        ]","[0.19303912 0.09726047 0.05328591 0.09063955 0.1272088  0.1298642
 0.112175   0.07260957 0.08483249 0.0390849 ]",0.5788817661155214,0.665778027458052,1,0
71,kmeans,"[0.         0.47719055 0.8090666  1.10918807 1.41822874 1.76658089
 2.19127104 2.7081405  3.30118535 3.97085579 6.        ]","[0.0329535  0.16008562 0.15054638 0.13774342 0.11377467 0.12260347
 0.1174058  0.07143422 0.04381731 0.04963561]",0.5882228362832206,0.6661415318485528,1,0
72,random-forest,"[0.         0.86500001 0.89699999 1.01699998 1.14799998 1.31900002
 1.47500002 1.63099999 2.355      2.52299998 3.01399999 6.        ]","[0.19303912 0.         0.09726047 0.05328591 0.09063955 0.04710386
 0.08010493 0.20127546 0.04076374 0.07260957 0.12391739]",0.621570083064114,0.6693117697266773,1,0
73,bayesian-blocks,"[0.    0.015 0.025 0.035 0.055 0.095 0.105 0.125 0.155 0.175 0.195 0.205
 0.215 0.225 0.245 0.255 0.265 0.275 0.295 0.305 0.315 0.325 0.345 0.355
 0.365 0.375 0.385 0.395 0.405 0.415 0.425 0.435 0.445 0.455 0.465 0.475
 0.495 0.505 0.515 0.535 0.555 0.575 0.595 0.605 0.615 0.635 0.665 0.695
 0.705 0.715 0.755 0.795 0.805 0.865 0.895 0.905 0.995 1.005 1.095 1.105
 1.165 1.195 1.205 1.245 1.295 1.305 1.325 1.375 1.395 1.405 1.455 1.495
 1.505 1.565 1.595 1.605 1.645 1.695 1.705 1.725 1.775 1.795 1.805 1.855
 1.895 1.905 1.935 1.965 1.995 2.005 2.045 2.085 2.095 2.105 2.145 2.195
 2.205 2.245 2.295 2.305 2.345 2.395 2.405 2.455 2.495 2.505 2.535 2.575
 2.595 2.605 2.645 2.685 2.695 2.705 2.755 2.795 2.805 2.845 2.895 2.905
 2.935 2.995 3.005 3.055 3.095 3.105 3.155 3.195 3.205 3.245 3.295 3.305
 3.345 3.395 3.405 3.475 3.495 3.505 3.535 3.595 3.605 3.645 3.695 3.705
 3.725 3.795 3.805 3.845 3.895 3.905 3.955 3.995 4.005 4.095 4.105 4.165
 4.195 4.205 4.245 4.295 4.305 4.395 4.405 4.495 4.505 4.595 4.605 4.695
 4.705 4.795 4.805 4.895 4.905 4.995 5.005 5.095 5.105 5.195 5.205 5.225
 5.23 ]","[0.00095656 0.         0.         0.         0.         0.00187254
 0.         0.         0.         0.         0.00376969 0.
 0.         0.         0.         0.         0.         0.
 0.00954753 0.         0.         0.         0.         0.
 0.         0.         0.         0.01680718 0.         0.
 0.         0.         0.         0.         0.         0.
 0.0276627  0.         0.         0.         0.         0.
 0.03673076 0.         0.         0.         0.         0.04388534
 0.         0.         0.         0.05180681 0.         0.
 0.05034865 0.         0.04691182 0.         0.05328591 0.
 0.         0.04797275 0.         0.         0.0426668  0.
 0.         0.         0.04710386 0.         0.         0.03817579
 0.         0.         0.04192915 0.         0.         0.03366974
 0.         0.         0.         0.03385587 0.         0.
 0.0335242  0.         0.         0.         0.02881439 0.
 0.         0.         0.02640902 0.         0.         0.0243281
 0.         0.         0.02067414 0.         0.         0.02054291
 0.         0.         0.02022082 0.         0.         0.
 0.01713921 0.         0.         0.         0.01450061 0.
 0.         0.01452298 0.         0.         0.01327699 0.
 0.         0.01316978 0.         0.         0.01122494 0.
 0.         0.01037132 0.         0.         0.00886821 0.
 0.         0.00886548 0.         0.         0.00882478 0.
 0.         0.00749406 0.         0.         0.00635445 0.
 0.         0.00639148 0.         0.         0.00588705 0.
 0.         0.00585676 0.         0.00469395 0.         0.
 0.00508112 0.         0.         0.00435979 0.         0.0038117
 0.         0.00414917 0.         0.00335897 0.         0.00345293
 0.         0.00355812 0.         0.0029298  0.         0.00322503
 0.         0.0026199  0.         0.00253837 0.         0.        ]",0.0,0.0,1,0
