ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt,multi_attribute
37,kbins-quantile,"[ 0.          5.63333333  8.11666667 10.65       13.68333333 18.08333333
 29.95      ]",[0.16678618 0.16878545 0.16417433 0.16501221 0.16755839 0.16768346],0.8455284479441715,0.8304786383565298,1,0
38,decision-tree,"[ 0.          6.49166656  7.49166656 11.92500019 17.375      23.10833359
 30.        ]",[0.21928745 0.06812222 0.2897825  0.23384498 0.12889296 0.06006988],0.8712779131546011,0.8426692753031912,1,0
39,kmeans,"[ 0.          4.25472504  7.82956337 11.4736562  15.49820563 20.15396452
 30.        ]",[0.08598488 0.23009245 0.23258171 0.19537681 0.14200464 0.1139595 ],0.8482905674351818,0.8371228433034326,1,0
40,random-forest,"[ 0.          6.4749999   7.50833344 11.99166679 17.29166603 23.00833321
 23.15833282 30.        ]","[0.21928745 0.07613645 0.28176827 0.23116024 0.12988265 0.00169505
 0.06006988]",0.8636399230214648,0.8057743230426184,1,0
41,equal-width,"[ 0.          4.28571429  8.57142857 12.85714286 17.14285714 21.42857143
 25.71428571 30.        ]","[0.08598488 0.27697031 0.26277202 0.17941413 0.10706714 0.05831212
 0.02947939]",0.8291290046380566,0.7974551563316319,1,0
42,equal-width-data,[ 0.     4.293  8.569 12.845 17.121 21.398 25.674 30.   ],"[0.08598488 0.27697031 0.26277202 0.17941413 0.10489818 0.05967479
 0.03028568]",0.8286123258477808,0.7975225463504604,1,0
43,equal-frequency,[ 0.     5.267  7.417  9.517 11.85  14.733 18.95  30.   ],"[0.14272869 0.14468098 0.14234969 0.14185567 0.142956   0.14277507
 0.14265391]",0.8002097807280242,0.7975950262198642,1,0
44,kbins,"[ 0.          4.29285714  8.56904762 12.8452381  17.12142857 21.39761905
 25.67380952 29.95      ]","[0.08598488 0.27697031 0.26277202 0.17941413 0.10489818 0.05967479
 0.03028568]",0.8286123258477808,0.79770161085788,1,0
45,kbins-quantile,"[ 0.          5.26666667  7.41666667  9.51666667 11.85       14.73333333
 18.95       29.95      ]","[0.14272869 0.14468098 0.14234969 0.14185567 0.142956   0.14277507
 0.14265391]",0.8002097807280242,0.7977739359488677,1,0
46,decision-tree,"[ 0.          6.49166656  7.49166656 10.5250001  11.92500019 17.375
 23.10833359 30.        ]","[0.21928745 0.06812222 0.20613542 0.08364708 0.23384498 0.12889296
 0.06006988]",0.825004633404045,0.7919509188017897,1,0
47,kmeans,"[ 0.          3.86252486  6.95448928 10.0368303  13.36454124 17.07931843
 21.32487779 30.        ]","[0.06564834 0.1874796  0.20895281 0.18891267 0.15031327 0.10873284
 0.08996047]",0.8033634868964037,0.7986152068088793,1,0
48,random-forest,"[ 0.          6.45833325  7.48214275 10.55595248 11.92976202 17.27023779
 17.3988093  23.11785725 30.        ]","[0.21928745 0.06812222 0.20613542 0.08364708 0.23116024 0.00268474
 0.12889296 0.06006988]",0.8196844070369557,0.7749747664096494,1,0
49,equal-width,[ 0.    3.75  7.5  11.25 15.   18.75 22.5  26.25 30.  ],"[0.0611456  0.22626407 0.24950628 0.18688181 0.12793474 0.07761602
 0.04593159 0.02471989]",0.7937531569187088,0.7627424763381883,1,0
50,equal-width-data,[ 0.     3.758  7.5   11.242 14.983 18.725 22.467 26.208 30.   ],"[0.0611456  0.22626407 0.24950628 0.18688181 0.12793474 0.07761602
 0.04593159 0.02471989]",0.7925724034599371,0.7628801751579262,1,0
51,equal-frequency,[ 0.     4.967  6.9    8.717 10.65  12.85  15.617 19.667 30.   ],"[0.12376782 0.12366346 0.1289778  0.12333687 0.12598126 0.12551564
 0.12338266 0.12537448]",0.7612118334723256,0.776409986788821,1,0
52,kbins,"[ 0.          3.75833333  7.5        11.24166667 14.98333333 18.725
 22.46666667 26.20833333 29.95      ]","[0.0611456  0.22626407 0.24950628 0.18688181 0.12793474 0.07761602
 0.04593159 0.02471989]",0.7925724034599371,0.7630325448216287,1,0
53,kbins-quantile,"[ 0.          4.96666667  6.9         8.71666667 10.65       12.85
 15.61666667 19.66666667 29.95      ]","[0.12376782 0.12366346 0.1289778  0.12333687 0.12598126 0.12551564
 0.12338266 0.12537448]",0.7612118334723256,0.7765726327976201,1,0
54,decision-tree,"[ 0.          6.49166656  7.49166656 10.5250001  11.92500019 15.32499981
 17.375      23.10833359 30.        ]","[0.21928745 0.06812222 0.20613542 0.08364708 0.16288775 0.07095724
 0.12889296 0.06006988]",0.7811807401193652,0.7721733501291597,1,0
55,kmeans,"[ 0.          3.60842085  6.39883427  9.09280203 11.86257558 14.79921015
 18.05284577 21.87619193 30.        ]","[0.05751696 0.15615287 0.18293475 0.17501044 0.142956   0.11774552
 0.08677401 0.08090944]",0.7632795614049281,0.7726345554570927,1,0
56,random-forest,"[ 0.          6.45833325  7.49583328 10.60000014 12.0041666  15.24166679
 15.86666667 17.36666679 23.13749981 30.        ]","[0.21928745 0.06812222 0.21233628 0.0820848  0.15424484 0.0233984
 0.05156317 0.12889296 0.06006988]",0.767522869952684,0.7592040114016501,1,0
57,equal-width,"[ 0.          3.33333333  6.66666667 10.         13.33333333 16.66666667
 20.         23.33333333 26.66666667 30.        ]","[0.04473731 0.18803515 0.22396188 0.19425908 0.13741801 0.09314361
 0.06097568 0.03618551 0.02128376]",0.760779301914397,0.735857588289671,1,0
58,equal-width-data,[ 0.     3.343  6.669  9.994 13.32  16.646 19.972 23.298 26.624 30.   ],"[0.04473731 0.18803515 0.22396188 0.19425908 0.13741801 0.09314361
 0.05980968 0.03735151 0.02128376]",0.7603072768126875,0.7360454065718767,1,0
59,equal-frequency,[ 0.     4.717  6.483  8.117  9.767 11.583 13.683 16.35  20.283 30.   ],"[0.11223215 0.1070553  0.11628417 0.10722688 0.11070477 0.11125488
 0.11257779 0.11087221 0.11179185]",0.7269797847134382,0.7600643079502172,1,0
60,kbins,"[ 0.          3.34259259  6.66851852  9.99444444 13.32037037 16.6462963
 19.97222222 23.29814815 26.62407407 29.95      ]","[0.04473731 0.18803515 0.22396188 0.19425908 0.13741801 0.09314361
 0.05980968 0.03735151 0.02128376]",0.7603072768126875,0.7361822367942888,1,0
61,kbins-quantile,"[ 0.          4.71666667  6.48333333  8.11666667  9.76666667 11.58333333
 13.68333333 16.35       20.28333333 29.95      ]","[0.11223215 0.1070553  0.11628417 0.10722688 0.11070477 0.11125488
 0.11257779 0.11087221 0.11179185]",0.7269797847134382,0.7602136763268863,1,0
62,decision-tree,"[ 0.          6.49166656  7.49166656  8.2249999  10.5250001  11.92500019
 15.32499981 17.375      23.10833359 30.        ]","[0.21928745 0.06812222 0.05613418 0.15000124 0.08364708 0.16288775
 0.07095724 0.12889296 0.06006988]",0.7546918900541999,0.7514092738503513,1,0
63,kmeans,"[ 0.          3.38008558  5.91525891  8.31613422 10.79622741 13.43754987
 16.26643631 19.36938451 22.94611571 30.        ]","[0.04473731 0.14142199 0.16426556 0.15552349 0.14994764 0.11842496
 0.09268509 0.07000387 0.0629901 ]",0.730673636489657,0.7501431742547775,1,0
64,random-forest,"[ 0.          6.45833325  7.50833344 10.49166679 10.6583333  12.0583334
 15.2750001  15.4083333  17.34166718 23.10833359 30.        ]","[0.21928745 0.07613645 0.19293286 0.01138918 0.0820848  0.15424484
 0.00796027 0.0670013  0.12889296 0.06006988]",0.7592534307476436,0.7418885104744191,1,0
65,equal-width,[ 0.  3.  6.  9. 12. 15. 18. 21. 24. 27. 30.],"[0.03098228 0.15517702 0.20480329 0.18622959 0.14660559 0.1060875
 0.07278777 0.04803049 0.03044921 0.01884727]",0.7342879175583984,0.7136424465830725,1,0
66,equal-width-data,"[ 0.     3.01   6.003  8.997 11.99  14.983 17.977 20.97  23.963 26.957
 30.   ]","[0.03471387 0.15906646 0.19718226 0.18622959 0.14660559 0.1060875
 0.07278777 0.04803049 0.03044921 0.01884727]",0.7327382189915468,0.7138691173826124,1,0
67,equal-frequency,"[ 0.     4.517  6.15   7.617  9.1   10.65  12.367 14.4   17.    20.817
 30.   ]","[0.10197028 0.09729597 0.10191585 0.09542248 0.10314137 0.09945451
 0.09861367 0.10072038 0.10183976 0.09962573]",0.6959025296381588,0.7463827065846417,1,0
68,kbins,"[ 0.          3.01        6.00333333  8.99666667 11.99       14.98333333
 17.97666667 20.97       23.96333333 26.95666667 29.95      ]","[0.03471387 0.15906646 0.19718226 0.18622959 0.14660559 0.1060875
 0.07278777 0.04803049 0.03044921 0.01884727]",0.7327382189915468,0.7139962235992849,1,0
69,kbins-quantile,"[ 0.          4.51666667  6.15        7.61666667  9.1        10.65
 12.36666667 14.4        17.         20.81666667 29.95      ]","[0.10197028 0.09729597 0.10191585 0.09542248 0.10314137 0.09945451
 0.09861367 0.10072038 0.10183976 0.09962573]",0.6959025296381588,0.7465259686983294,1,0
70,decision-tree,"[ 0.          6.49166656  7.49166656  8.2249999  10.5250001  11.92500019
 15.32499981 17.375      23.10833359 26.65833282 30.        ]","[0.21928745 0.06812222 0.05613418 0.15000124 0.08364708 0.16288775
 0.07095724 0.12889296 0.03878612 0.02128376]",0.7400224844009965,0.7190783867171506,1,0
71,kmeans,"[ 0.          3.14561911  5.4195237   7.48569246  9.54177343 11.70863602
 14.10141306 16.79292347 19.80225867 23.22513602 30.        ]","[0.03809757 0.11598551 0.13332659 0.14234969 0.13527663 0.12303644
 0.10319746 0.08761343 0.06248141 0.05863528]",0.7003356286603661,0.7334639369093003,1,0
72,random-forest,"[ 0.          6.45833325  7.50833344 10.5583334  11.95833302 15.10833359
 15.29166698 17.25833321 23.07500076 23.27499962 26.54166603 30.        ]","[0.21928745 0.07613645 0.19812119 0.08364708 0.15413893 0.00474448
 0.07227683 0.12988265 0.00312966 0.03637578 0.0222595 ]",0.7514499820348615,0.7041221112220579,1,0
73,bayesian-blocks,"[ 0.          0.04166667  0.05833333  0.15833333  0.175       0.30833333
  0.69166667  0.74166667  0.85833333  0.99166667  1.075       1.15833333
  1.225       1.30833333  1.39166667  1.475       1.525       1.625
  1.69166667  1.75833333  1.85833333  1.925       2.025       2.09166667
  2.10833333  2.15833333  2.25833333  2.325       2.39166667  2.49166667
  2.59166667  2.69166667  2.75833333  2.825       2.925       3.025
  3.15833333  3.25833333  3.35833333  3.425       3.525       3.59166667
  3.64166667  3.65833333  3.75833333  3.80833333  3.825       3.95833333
  3.975       3.99166667  4.125       4.14166667  4.15833333  4.175
  4.19166667  4.29166667  4.30833333  4.34166667  4.525       4.69166667
  4.925       5.19166667  5.39166667  5.625       5.64166667  5.84166667
  5.85833333  6.00833333  6.025       6.15833333  6.175       6.19166667
  6.325       6.34166667  6.35833333  6.475       6.49166667  6.50833333
  6.525       6.79166667  6.80833333  6.825       6.84166667  6.925
  6.94166667  8.20833333  8.225       8.35833333  8.375       8.39166667
  8.525       8.54166667  8.55833333  8.69166667  8.70833333  8.725
  8.85833333  8.875       8.89166667  9.025       9.04166667  9.19166667
  9.20833333  9.225       9.35833333  9.375       9.50833333  9.525
  9.54166667  9.625       9.64166667  9.69166667  9.70833333 10.00833333
 10.40833333 10.74166667 10.75833333 10.975      10.99166667 11.00833333
 11.025      11.05833333 11.075      11.09166667 11.225      11.24166667
 11.25833333 11.30833333 11.39166667 11.40833333 11.425      11.49166667
 11.50833333 11.55833333 11.575      11.625      11.74166667 11.89166667
 11.90833333 11.99166667 12.00833333 12.05833333 12.075      12.325
 12.34166667 12.64166667 12.94166667 13.10833333 13.375      13.39166667
 13.44166667 13.59166667 13.60833333 13.625      13.74166667 13.75833333
 13.775      13.925      13.94166667 13.95833333 14.04166667 14.35833333
 14.375      14.60833333 14.95833333 15.29166667 15.64166667 15.79166667
 15.80833333 15.825      15.95833333 15.975      15.99166667 16.14166667
 16.15833333 16.29166667 16.30833333 16.45833333 16.475      16.80833333
 17.075      17.325      17.675      18.00833333 18.125      18.175
 18.19166667 18.34166667 18.35833333 18.49166667 18.50833333 18.675
 19.10833333 19.35833333 19.69166667 20.00833333 20.19166667 20.54166667
 20.80833333 21.20833333 21.55833333 21.80833333 22.24166667 22.50833333
 22.74166667 23.24166667 23.69166667 24.04166667 24.59166667 25.00833333
 25.375      25.775      26.20833333 26.625      26.80833333 27.125
 27.40833333 27.80833333 28.075      28.49166667 28.80833333 29.15833333
 29.675      29.94166667 29.95      ]","[1.94057808e-05 0.00000000e+00 2.28964548e-04 0.00000000e+00
 3.67999867e-04 4.09059660e-04 1.64594153e-04 2.39732390e-04
 2.54405053e-04 2.55943316e-04 4.29885376e-04 4.75086646e-04
 4.57337456e-04 0.00000000e+00 7.61440240e-04 6.34119386e-04
 1.00484080e-03 0.00000000e+00 8.48056286e-04 1.14470441e-03
 1.50548627e-03 1.43945929e-03 0.00000000e+00 1.61103479e-03
 0.00000000e+00 1.80379099e-03 1.63221549e-03 0.00000000e+00
 2.10103075e-03 2.64806078e-03 2.51849170e-03 2.22586672e-03
 2.83738547e-03 2.96387803e-03 3.73158965e-03 3.38370553e-03
 3.52191256e-03 3.11782267e-03 3.87890793e-03 4.70945168e-03
 0.00000000e+00 4.19129367e-03 0.00000000e+00 3.62864435e-03
 4.50273278e-03 0.00000000e+00 4.67217838e-03 0.00000000e+00
 0.00000000e+00 9.79021641e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.87415351e-03 5.20784893e-03
 0.00000000e+00 1.07775447e-02 4.64176810e-03 1.71557752e-02
 1.19067481e-02 1.32120235e-02 1.78995846e-02 0.00000000e+00
 1.38977339e-02 0.00000000e+00 1.30964171e-02 0.00000000e+00
 5.48591957e-03 0.00000000e+00 0.00000000e+00 1.44035858e-02
 0.00000000e+00 0.00000000e+00 5.61761856e-03 0.00000000e+00
 7.79508915e-03 0.00000000e+00 1.24056187e-02 7.94311740e-03
 0.00000000e+00 0.00000000e+00 5.69666161e-03 0.00000000e+00
 9.04159108e-02 0.00000000e+00 6.88100588e-03 0.00000000e+00
 0.00000000e+00 1.25303363e-02 0.00000000e+00 0.00000000e+00
 6.73581751e-03 6.71806832e-03 0.00000000e+00 7.80775024e-03
 0.00000000e+00 0.00000000e+00 1.23877512e-02 0.00000000e+00
 6.66588570e-03 7.76373225e-03 0.00000000e+00 6.65677445e-03
 0.00000000e+00 1.20683841e-02 0.00000000e+00 0.00000000e+00
 6.52886196e-03 0.00000000e+00 0.00000000e+00 6.51028447e-03
 1.92822464e-02 2.62760188e-02 1.75915769e-02 0.00000000e+00
 1.30772480e-02 0.00000000e+00 5.02278404e-03 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.28675709e-02
 0.00000000e+00 0.00000000e+00 5.91166347e-03 0.00000000e+00
 5.83143713e-03 0.00000000e+00 0.00000000e+00 4.84422719e-03
 0.00000000e+00 0.00000000e+00 5.75381401e-03 5.77889953e-03
 6.57903300e-03 5.57715040e-03 0.00000000e+00 4.63857325e-03
 0.00000000e+00 0.00000000e+00 1.73697121e-02 0.00000000e+00
 1.51511817e-02 1.65308854e-02 9.32270275e-03 1.07881942e-02
 0.00000000e+00 4.90256286e-03 4.05746478e-03 4.80470567e-03
 0.00000000e+00 4.75358800e-03 0.00000000e+00 0.00000000e+00
 1.01047321e-02 0.00000000e+00 0.00000000e+00 3.90955486e-03
 1.42880977e-02 0.00000000e+00 1.24670309e-02 1.35165996e-02
 1.22778245e-02 1.51672743e-02 3.82258383e-03 4.40854375e-03
 0.00000000e+00 3.74780058e-03 0.00000000e+00 0.00000000e+00
 7.45749957e-03 0.00000000e+00 3.64166042e-03 3.01499570e-03
 4.12597665e-03 0.00000000e+00 1.32003091e-02 6.64446835e-03
 9.73046080e-03 9.87115272e-03 1.14082325e-02 3.36631133e-03
 0.00000000e+00 0.00000000e+00 5.19613446e-03 0.00000000e+00
 3.19544579e-03 2.30408149e-03 3.14693134e-03 1.29173870e-02
 4.56319836e-03 7.61949050e-03 8.82004570e-03 2.59493154e-03
 8.21491666e-03 6.11885567e-03 8.08191606e-03 5.30180131e-03
 5.33256657e-03 7.02098783e-03 4.57278292e-03 3.10196673e-03
 7.57843071e-03 5.44734466e-03 4.96551332e-03 6.02466664e-03
 5.59679284e-03 3.16148568e-03 3.96008089e-03 4.75950440e-03
 3.43612481e-03 1.51223097e-03 2.49198624e-03 2.26396832e-03
 2.72722217e-03 1.35438151e-03 2.66924148e-03 2.31366605e-03
 1.81065401e-03 2.66084020e-03 1.47957246e-03 0.00000000e+00]",0.0,0.0,1,0
